tank,Date/Time,Green Algae,Bluegreen,Diatoms,Cryptophyta,Yellow substances,Total conc.,Transmission,Depth,Temp. Sample
,date,µg/l,µg/l,µg/l,µg/l,r.u.,µg/l,%,m,°C
1,2018-08-13 15:28,16.73,2.48,0,0.69,1.68,19.9,86.39,0.31,23.55
2,2018-08-13 15:28,,,,,,,,,
3,2018-08-13 15:28,21.57,0.56,0,1.91,1.4,24.03,85.78,0.29,23.67
4,2018-08-13 15:28,43.87,2.16,0,0.03,2.28,46.06,84.29,0.3,23.74
5,2018-08-13 15:28,36.41,1.01,0,0.14,1.73,37.55,82.05,0,23.9
6,2018-08-13 15:28,8.5,2.16,0,0.03,1.48,10.7,86.84,0.27,24.05
7,2018-08-13 15:28,19.26,1.03,0,0.06,1.38,20.36,86.22,0.31,23.98
8,2018-08-13 15:28,16.06,1.27,0,0.18,1.23,17.51,88.37,0.29,24.03
9,2018-08-13 15:28,7.49,0.4,0,0.33,1.32,8.22,87.75,0.29,24.1
10,2018-08-13 15:28,11.08,0.69,0,0.32,1.28,12.09,87.3,0.29,24.24
11,2018-08-13 15:28,17.72,0.71,0,0.31,2.49,18.74,86.39,0.29,24.29
12,2018-08-13 15:28,47.3,0.5,0,0,1.72,47.81,84.03,0.29,24.27
13,2018-08-13 15:28,38.68,1.39,0,0.08,1.53,40.15,85.77,0.27,24.42
14,2018-08-13 15:28,7.53,0.59,0,0.77,1.28,8.89,88.97,0.29,24.46
15,2018-08-13 15:28,37.57,1.35,0,0.48,2.4,39.4,84.5,0.28,24.56
16,2018-08-13 15:28,23.71,0,0,0.54,1.44,24.25,86.84,0.29,24.53
17,2018-08-13 15:28,15.02,0,0,0.32,1.26,15.34,87.88,0.28,24.55
18,2018-08-13 15:28,15.15,0.44,0,0.44,1.6,16.03,87.16,0.28,24.5
19,2018-08-13 15:28,54.17,2.92,0,0.02,1.72,57.11,82.35,0,24.56
20,2018-08-13 15:28,22.81,3.94,0,0,2.39,26.75,84.55,0.29,24.69
21,2018-08-13 15:28,32.9,0.65,0,0.2,1.57,33.75,85.57,0.27,24.73
22,2018-08-13 15:28,37.65,0.18,0,0.16,1.88,37.99,85.38,0.27,24.71
23,2018-08-13 15:28,27.48,0.46,0,1.19,1.5,29.13,88.26,0.27,24.84
24,2018-08-13 15:28,24.72,1.58,0,0.18,2.7,26.48,87.09,0.31,24.8
25,2018-08-13 15:28,25.57,2.92,0,0,3.24,28.5,85.53,0.29,24.88
26,2018-08-13 15:28,13.93,1.26,0,0.69,2.8,15.88,85.6,0.28,24.92
27,2018-08-13 15:28,34.74,2.77,0,0.45,1.92,37.97,86.18,0.28,25
28,2018-08-13 15:28,10.75,1.27,0,0.07,1.76,12.09,87.37,0.27,24.87
29,2018-08-13 15:28,37.59,1.71,0,0.41,2.59,39.7,84.06,0.28,24.9
30,2018-08-13 15:28,56.1,0.86,0,0,2.3,56.96,84.03,0.27,25.02
31,2018-08-13 15:28,24.9,0.03,0,0.62,1.11,25.55,86.78,0.27,25.1
32,2018-08-13 15:28,41.39,0.8,0,0.23,2.3,42.42,85.44,0.3,25.1
33,2018-08-13 15:28,18.74,0,0,0.94,1.1,19.68,87.46,0.29,25.1
34,2018-08-13 15:28,14.06,0.5,0,0,1.48,14.56,87.68,0.27,25.12
35,2018-08-13 15:28,56.26,2.82,0,0.07,1.86,59.15,81.91,0.28,25.15
36,2018-08-13 15:28,14.06,0.37,0,0.42,1.59,14.86,86.97,0.29,25.16
37,2018-08-13 15:28,23.52,0.65,0,0.53,1.93,24.7,86.13,0.28,25.17
38,2018-08-13 15:28,43.96,4.71,0,0.15,1.97,48.82,81.89,0.29,25.2
39,2018-08-13 15:28,39.34,0.62,0,1.75,1.91,41.71,84.08,0.28,25.17
40,2018-08-13 15:28,26.55,0.17,0,0.83,1.23,27.55,86.35,0.27,25.19
41,2018-08-13 15:28,12.97,0.11,0,0.64,0.98,13.72,88.06,0.27,25.18
42,2018-08-13 15:28,4.1,0.22,0,0.64,1.41,4.97,88.7,0.27,25.2
43,2018-08-13 15:28,3.08,0.67,0,0.77,1.87,4.52,87.45,0.27,25.32
44,2018-08-13 15:28,0.37,1.12,0,0.42,1.98,1.91,87.89,0.27,25.32
45,2018-08-13 15:28,13.64,0.41,0.56,0.77,1.57,15.38,87.21,0.29,25.34
46,2018-08-13 15:28,15.28,8.08,0,0.59,1.49,23.95,85.15,0.27,25.32
47,2018-08-13 15:28,8.98,0.77,0,0.92,1.19,10.67,87.91,0.29,25.34
48,2018-08-13 15:28,13.14,0.63,0,1.14,2.08,14.91,88.89,0.26,25.46
