tank,Date/Time,Green Algae,Bluegreen,Diatoms,Cryptophyta,Yellow substances,Total conc.,Transmission,Depth,Temp. Sample,Green Algae,Bluegreen,Diatoms,Cryptophyta,#4,#5,#6,Yellow substances,Total cell count,Trans. 700 nm,LED 3 [525 nm],LED 4 [570 nm],LED 5 [610 nm],LED 6 [370 nm],LED 7 [590 nm],LED 8 [470 nm],Pressure,Temp. LEDs,Temp. Sensor
,date,µg/l,µg/l,µg/l,µg/l,r.u.,µg/l,%,m,°C,cells/ml,cells/ml,cells/ml,cells/ml,cells/ml,cells/ml,cells/ml,r.u.,cells/ml,digits,digits,digits,digits,digits,digits,digits,bar,°C,°C
1,2018-08-02 12:04,20.04,1.1,0,0.1,1.8,21.25,84.59,0.29,23.21,10624,1101,0,3,0,0,0,0,11728,517.53,16.75,6.09,16.01,49.87,21.19,74.55,1.03,23.68,23.21
2,2018-08-02 12:04,29.38,1.48,0,0.09,2.06,30.95,83.37,0.28,23.28,15571,1477,0,3,0,0,0,0,17051,510.06,21.79,8.62,22.34,65.86,29.09,103.2,1.03,24.23,23.25
3,2018-08-02 12:04,11.38,1.47,1.47,0.12,1.54,14.43,85.24,0.29,23.39,6030,1468,660,4,0,0,0,0,8162,521.49,15.88,5.64,14.22,37.74,17.13,53.4,1.03,24.55,23.53
4,2018-08-02 12:04,23.5,1.29,0,0.67,2.21,25.46,83.71,0.29,23.47,12454,1286,0,20,0,0,0,0,13760,512.13,22.09,7.18,20.56,60.73,26.96,90.89,1.03,24.76,23.8
5,2018-08-02 12:04,11.77,1.56,0,0.41,1.54,13.74,83.81,0.28,23.6,6239,1557,0,12,0,0,0,0,7809,512.72,14.04,5.16,13.28,36.63,18.81,50.49,1.03,24.95,24
6,2018-08-02 12:04,11.1,1.56,0,0.66,1.57,13.31,84.19,0.27,23.7,5880,1558,0,20,0,0,0,0,7459,515.02,15.23,5.13,14.47,36.44,18.75,49.99,1.03,25.17,24.32
7,2018-08-02 12:04,19.73,0.14,0,0.75,1.73,20.62,84.73,0.3,23.8,10454,142,0,22,0,0,0,0,10619,518.37,18.16,6.58,14.99,49.26,19.69,75.65,1.03,25.36,24.48
8,2018-08-02 12:04,27.06,0.42,0,0.46,1.22,27.93,85.55,0.27,23.9,14340,418,0,14,0,0,0,0,14772,523.37,19.05,7.04,18.16,52.73,24.53,90.05,1.03,25.48,24.63
9,2018-08-02 12:04,15.26,0,1.21,0.67,1.36,17.15,85.93,0.26,23.96,8089,0,546,20,0,0,0,0,8655,525.68,17.33,4.99,12.23,40.57,16.88,63.83,1.03,25.53,24.95
10,2018-08-02 12:04,15.24,1.14,0,0.37,1.46,16.75,85.72,0.29,24.12,8080,1138,0,11,0,0,0,0,9229,524.43,15.06,5.71,14.57,39.88,18.46,59.07,1.03,25.62,25.14
11,2018-08-02 12:04,26.13,0.75,0,1.04,2.04,27.91,83.38,0.29,24.08,13847,750,0,31,0,0,0,0,14628,510.11,23.42,8.25,20.6,62.73,28.69,98.15,1.03,25.71,25.28
12,2018-08-02 12:04,21.57,0.2,0,0.5,1.84,22.28,84.72,0.28,24.21,11433,203,0,15,0,0,0,0,11651,518.3,18.24,6.76,15.44,52.61,20.26,80.75,1.03,25.81,25.22
13,2018-08-02 12:04,26.32,1.09,0,0.36,1.59,27.77,83.92,0.26,24.27,13951,1093,0,11,0,0,0,0,15055,513.37,19.86,7.1,19.41,56.34,26.92,91.24,1.03,25.73,25.38
14,2018-08-02 12:04,10.42,0,1.1,0.54,1.37,12.06,86.39,0.26,24.28,5522,0,495,16,0,0,0,0,6034,528.49,14.31,4.94,9.15,33.64,12.66,49.26,1.03,25.86,25.48
15,2018-08-02 12:04,29.68,0.48,0,0,1.58,30.16,84.35,0.28,24.34,15730,478,0,0,0,0,0,0,16208,516.03,19.51,6.23,19.5,59.57,24.23,98.73,1.03,25.87,25.78
