tank,Date/Time,Green Algae,Bluegreen,Diatoms,Cryptophyta,Yellow substances,Total conc.,Transmission,Depth,Temp. Sample,Green Algae,Bluegreen,Diatoms,Cryptophyta,#4,#5,#6,Yellow substances,Total cell count,Trans. 700 nm,LED 3 [525 nm],LED 4 [570 nm],LED 5 [610 nm],LED 6 [370 nm],LED 7 [590 nm],LED 8 [470 nm],Pressure,Temp. LEDs,Temp. Sensor
,date,?g/l,?g/l,?g/l,?g/l,r.u.,?g/l,%,m,?C,cells/ml,cells/ml,cells/ml,cells/ml,cells/ml,cells/ml,cells/ml,r.u.,cells/ml,digits,digits,digits,digits,digits,digits,digits,bar,?C,?C
1,2018-08-27 15:55,26.84,7.64,0,0.39,1.41,34.87,81.07,0.29,22.83,14226,7645,0,12,0,0,0,0,21882,495.99,25.98,14.67,39.54,59.72,52.75,92.99,1.03,23.56,22.98
2,2018-08-27 15:55,45.17,1.53,0,0.48,1.52,47.18,78.73,0.3,22.92,23941,1526,0,14,0,0,0,0,25482,481.64,29.24,11.24,32.05,81.58,41.13,144.05,1.03,24.02,23.14
3,2018-08-27 15:55,21.19,4.91,0,0.64,1.04,26.74,83.64,0.32,23.11,11232,4912,0,19,0,0,0,0,16164,511.7,21.53,10.11,29.79,46.16,38.09,74.03,1.03,24.26,23.37
4,2018-08-27 15:55,39.88,1.55,0,0.16,1.62,41.6,80.66,0.3,23.17,21136,1553,0,5,0,0,0,0,22694,493.43,26.01,10.84,29.19,74.94,35.51,128.68,1.03,24.51,23.58
5,2018-08-27 15:55,70.39,0,0,0,1.31,70.39,77.41,0.29,23.27,37304,0,0,0,0,0,0,0,37304,473.58,37.5,13.19,36.83,110.14,49.13,210.82,1.03,24.68,23.74
6,2018-08-27 15:55,15.97,0,0,0.92,1.53,16.89,83.14,0.3,23.42,8466,0,0,28,0,0,0,0,8494,508.61,16.56,5.87,12.64,42.08,17.34,64.04,1.03,24.82,23.91
7,2018-08-27 15:55,43.25,1.83,0,0,1.63,45.08,79.91,0.28,23.55,22924,1830,0,0,0,0,0,0,24754,488.88,25.25,10.7,30.17,79.75,39.76,137.53,1.03,24.96,24.17
8,2018-08-27 15:55,5.69,0.92,0,0.18,1.43,6.79,85.52,0.29,23.54,3014,925,0,5,0,0,0,0,3944,523.19,9.7,3.36,7.93,26.15,10.52,31.16,1.03,25.01,24.27
9,2018-08-27 15:55,10.14,0.3,2.34,0,1.02,12.78,85.89,0.28,23.59,5375,298,1054,0,0,0,0,0,6727,525.43,13.88,3.6,9.34,30.19,12.19,47.27,1.03,25.1,24.36
10,2018-08-27 15:55,20.8,0.26,0,0.11,1.56,21.17,84.9,0.29,23.71,11026,257,0,3,0,0,0,0,11287,519.4,15.72,5.12,13.8,47.45,18.14,74.15,1.03,25.11,24.53
11,2018-08-27 15:55,43.71,0.09,0,0.06,1.9,43.87,82.17,0.3,23.76,23168,91,0,2,0,0,0,0,23261,502.69,26.28,8.77,25.41,82.26,33.54,141.28,1.03,25.12,24.67
12,2018-08-27 15:55,49.15,2.22,0,0,1.8,51.37,79.72,0.29,23.81,26048,2221,0,0,0,0,0,0,28269,487.71,28.82,13.62,34.51,90.08,45.32,155.79,1.03,25.14,24.74
13,2018-08-27 15:55,53.98,1.41,0,0.18,1.19,55.56,80.63,0.3,23.83,28609,1408,0,5,0,0,0,0,30022,493.29,30.51,13.29,34.95,88.82,45.29,163.97,1.03,25.27,25.14
14,2018-08-27 15:55,12.98,0,2.23,0.85,1.17,16.06,85.16,0.29,23.94,6879,0,1004,26,0,0,0,0,7908,520.98,18.48,6.18,11.86,37.21,16.83,60.18,1.03,25.39,25.14
15,2018-08-27 15:55,55.16,3.91,0,0,1.58,59.07,77.95,0.3,23.97,29234,3908,0,0,0,0,0,0,33142,476.89,33.37,14.37,42.73,96.59,55.91,171.03,1.03,25.38,25.18
16,2018-08-27 15:55,10.56,0.31,1.95,0,1.08,12.82,85.48,0.29,24.09,5597,306,878,0,0,0,0,0,6781,522.93,13.49,3.65,9.52,30.88,12.04,47.6,1.03,25.37,25.37
17,2018-08-27 15:55,14.07,0,0,0.04,1.06,14.1,85.41,0.3,24.04,7456,0,0,1,0,0,0,0,7457,522.52,10.98,3.47,8.73,32.04,11.79,50.13,1.03,25.42,25.57
18,2018-08-27 15:55,14.94,0.53,0,0.26,1.52,15.73,85.78,0.3,24.2,7916,531,0,8,0,0,0,0,8455,524.77,13.98,4.6,12.01,39.54,15.76,58.13,1.03,25.52,25.86
19,2018-08-27 15:55,41.71,7.59,0,0.14,1.94,49.44,78.43,0.29,24.11,22104,7589,0,4,0,0,0,0,29698,479.8,33,15.26,46.63,85.51,62.62,138.59,1.03,25.52,25.62
20,2018-08-27 15:55,20.57,1.14,0,1.67,2.24,23.38,82.42,0.29,24.29,10900,1143,0,50,0,0,0,0,12094,504.25,24.68,8.75,21.24,59.23,28.92,87.6,1.03,25.57,25.7
21,2018-08-27 15:55,38.06,0.11,0,0.95,1.68,39.11,82.75,0.28,24.23,20172,105,0,28,0,0,0,0,20306,506.25,27.13,9.03,25.39,73.82,32.9,127.45,1.03,25.55,25.87
22,2018-08-27 15:55,32.38,0.61,0,0.64,1.61,33.62,82.86,0.3,24.32,17161,606,0,19,0,0,0,0,17786,506.9,23.4,7.59,22.11,65.03,30.35,109.59,1.03,25.64,26.02
23,2018-08-27 15:55,17.77,0.19,0,0.98,1.58,18.94,84.37,0.3,24.31,9420,186,0,29,0,0,0,0,9635,516.14,18.14,6.17,14.97,45.39,19.18,69.92,1.03,25.64,26.08
24,2018-08-27 15:55,16.04,0.14,0,1.04,2.31,17.21,83.76,0.31,24.37,8499,136,0,31,0,0,0,0,8666,512.42,19.39,6.26,14.41,51.83,18.76,72.33,1.03,25.64,26.19
25,2018-08-27 15:55,40.08,2.64,0,0.18,2.03,42.89,82.72,0.31,24.44,21241,2637,0,5,0,0,0,0,23883,506.08,28,11.05,31.74,80.92,41.47,133.6,1.03,25.7,26.44
26,2018-08-27 15:55,53.35,2.13,0,0.36,3.11,55.85,79.04,0.31,24.48,28278,2127,0,11,0,0,0,0,30416,483.52,37.17,13.73,39.23,111.76,49.65,181.87,1.03,25.77,26.42
27,2018-08-27 15:55,41.8,4.46,0,0,1.55,46.26,79.25,0.31,24.53,22156,4462,0,0,0,0,0,0,26617,484.8,27.85,12.58,37.82,78.56,48.44,133.48,1.03,25.78,26.45
28,2018-08-27 15:55,19.56,0.62,0,0,1.31,20.18,84.53,0.29,24.56,10365,624,0,0,0,0,0,0,10989,517.14,14.27,5.49,13.77,42.79,18.01,67.79,1.03,25.84,26.56
