tank,Date/Time,Green Algae,Bluegreen,Diatoms,Cryptophyta,Yellow substances,Total conc.,Transmission,Depth,Temp. Sample
,date,µg/l,µg/l,µg/l,µg/l,r.u.,µg/l,%,m,°C
1,2018-08-08 12:00,13.38,1.22,0.67,0.31,1.4,15.57,86.71,0.23,23.91
2,2018-08-08 12:00,31.48,1.1,0,0.18,1.72,32.77,84.74,0.25,24.09
3,2018-08-08 12:00,12.38,0,2.04,0.52,0.96,14.94,87.55,0.22,24.15
4,2018-08-08 12:00,24.92,1.18,0,0.08,2.15,26.18,86.36,0.25,24.29
5,2018-08-08 12:00,22.85,0.2,0,0,1.47,23.05,85.23,0.23,24.35
6,2018-08-08 12:00,8.87,3.58,0,0.61,1.41,13.06,86.21,0.24,24.42
7,2018-08-08 12:00,13.94,0.78,0,0.04,1.13,14.76,87.77,0.24,24.49
8,2018-08-08 12:00,17.68,0.52,0,0,1.15,18.2,87,0.23,24.63
9,2018-08-08 12:00,11.73,0.13,0,0.47,1.19,12.33,88.2,0.24,24.8
10,2018-08-08 12:00,8.27,0.68,0,0.6,1.17,9.55,88.26,0.23,24.82
11,2018-08-08 12:00,13.19,0.36,1.69,0,1.66,15.24,87.05,0.23,24.95
12,2018-08-08 12:00,28.89,0.31,0,0,1.44,29.2,85.73,0.24,24.9
13,2018-08-08 12:00,24.72,0.85,0,0.65,1.62,26.22,86.55,0.23,25.21
14,2018-08-08 12:00,5.49,0.72,0.06,0.4,1.26,6.67,88.27,0.22,25.29
15,2018-08-08 12:00,27.98,1.02,0.63,0.07,1.78,29.7,85.54,0.23,25.29
16,2018-08-08 12:00,21.84,0.43,0,0.01,1.09,22.28,87.18,0.23,25.32
17,2018-08-08 12:00,23.22,0,0,0.33,1.17,23.55,87.18,0.23,25.44
18,2018-08-08 12:00,26.23,0.48,0,0.1,1.3,26.81,86.93,0.23,25.58
19,2018-08-08 12:00,45.6,0.46,0,0,1.47,46.06,83.69,0.23,25.52
20,2018-08-08 12:00,20.32,2.52,0,0.49,2.43,23.32,85.62,0.23,25.56
21,2018-08-08 12:00,26.9,0.44,0,0.29,1.92,27.63,86.44,0.23,25.57
22,2018-08-08 12:00,29.04,0.17,0,0.28,1.66,29.49,86.4,0.22,25.7
23,2018-08-08 12:00,20.17,0.48,0,0.46,1.32,21.11,87.33,0.21,25.72
24,2018-08-08 12:00,30.21,0.33,0,0.32,2.29,30.86,84.97,0.23,25.73
25,2018-08-08 12:00,23.38,1.97,0,0.3,2.2,25.65,86.51,0.24,25.79
26,2018-08-08 12:00,10.59,0.58,0,1.11,2.54,12.27,86.96,0.23,25.91
27,2018-08-08 12:00,32,1.64,0,0.55,1.69,34.19,85.16,0.22,25.93
28,2018-08-08 12:00,14.52,0.25,0,1.79,1.92,16.55,86.96,0.22,25.95
29,2018-08-08 12:00,27.37,1.72,0,0.25,2.24,29.34,85.69,0.23,25.96
30,2018-08-08 12:00,44.93,0.55,0,0,2.1,45.48,85.08,0.23,25.99
31,2018-08-08 12:00,22.74,0,0,0.46,1.14,23.2,86.94,0.24,26.02
32,2018-08-08 12:00,41.02,0.67,0,0.24,1.89,41.94,85.86,0.23,26.04
33,2018-08-08 12:00,26.25,0,0,0.75,1.16,26.99,87.29,0.22,26.12
34,2018-08-08 12:00,12.85,0.82,0,0.22,1.16,13.9,87.76,0.23,26.08
35,2018-08-08 12:00,25.59,1.81,0,0.44,1.58,27.84,85.6,0.23,26.11
36,2018-08-08 12:00,8.97,0.74,0,0.61,1.77,10.32,87.65,0.23,26.31
37,2018-08-08 12:00,17.69,1.13,0,0.91,1.75,19.73,87.07,0.22,26.33
38,2018-08-08 12:00,33.24,2.72,0,0,1.65,35.96,83.33,0.22,26.3
39,2018-08-08 12:00,38.29,1.52,0,1.03,1.8,40.84,84.82,0.22,26.28
40,2018-08-08 12:00,23.56,0.22,0,0.35,1.47,24.12,87.29,0.23,26.39
41,2018-08-08 12:00,12.01,0.11,0,0.89,0.92,13.01,88.45,0.22,26.35
42,2018-08-08 12:00,7.65,0.5,1.52,0.12,1.15,9.79,88.65,0.23,26.41
43,2018-08-08 12:00,3.94,0.4,0,0.66,1.61,5,87.95,0.22,26.42
44,2018-08-08 12:00,2.85,0.59,0,1.22,1.81,4.66,87.18,0.23,26.44
45,2018-08-08 12:00,7.71,0.95,0.46,0,1.48,9.12,87.95,0.23,26.51
46,2018-08-08 12:00,16.77,7.94,0,0.58,1.5,25.3,85.54,0.22,26.44
47,2018-08-08 12:00,9.52,1.06,0,0.69,1.3,11.27,88.24,0,26.57
48,2018-08-08 12:00,12.99,0.31,0,0.94,1.94,14.24,88.17,0.23,26.51
