tank,Date/Time,Green Algae,Bluegreen,Diatoms,Cryptophyta,Yellow substances,Total conc.,Transmission,Depth,Temp. Sample
,date,µg/l,µg/l,µg/l,µg/l,r.u.,µg/l,%,m,°C
1,2018-07-18 11:23,15.63,1.71,0,0.16,1.59,17.49,84,0.3,23.45
2,2018-07-18 11:23,15.25,1.49,0,0.09,1.63,16.82,84.53,0.3,23.57
3,2018-07-18 11:23,9.24,0.27,0.32,0.71,1.54,10.54,84.98,0.31,23.62
4,2018-07-18 11:23,13.35,2.51,0,0.4,1.76,16.26,84.53,0.3,23.66
5,2018-07-18 11:23,20.35,0.68,0,0.47,1.71,21.5,84.75,0.31,23.72
6,2018-07-18 11:23,10.93,0.63,0,0.63,1.4,12.19,84.44,0.3,23.83
7,2018-07-18 11:23,7.68,0.29,0,1.07,1.32,9.04,85.52,0.31,23.97
8,2018-07-18 11:23,18.46,0,0,1,1.61,19.46,84.45,0.3,24.09
9,2018-07-18 11:23,7.57,0.58,0,0.67,1.36,8.82,85.78,0.3,24.16
10,2018-07-18 11:23,1.63,0.35,0.84,0.27,1.36,3.09,86.09,0.3,24.25
11,2018-07-18 11:23,2.82,0.99,0,0.15,1.63,3.96,85.16,0.3,24.18
12,2018-07-18 11:23,17.36,1.1,0,0.21,1.75,18.67,85.17,0.3,24.35
13,2018-07-18 11:23,21.19,1.17,0.34,0.12,1.49,22.83,84.27,0.3,24.25
14,2018-07-18 11:23,5.77,0.75,1.9,0,0.97,8.42,85.57,0.31,24.43
15,2018-07-18 11:23,14.24,1.32,0,0.26,1.72,15.82,84.75,0.32,24.52
16,2018-07-18 11:23,7.9,0.49,0.79,0.56,1.68,9.75,84.47,0.3,24.53
17,2018-07-18 11:23,12.65,0,0,0.44,1.24,13.09,85.01,0.3,24.45
18,2018-07-18 11:23,9.44,0,0.77,0.38,1.24,10.6,84.73,0.3,24.42
19,2018-07-18 11:23,26.28,1.27,0,0,1.72,27.55,84.28,0.3,24.54
20,2018-07-18 11:23,16.58,0,0,1.8,1.43,18.37,84.68,0.31,24.63
21,2018-07-18 11:23,9.49,0.83,0,0.26,1.7,10.58,85.18,0.29,24.67
22,2018-07-18 11:23,13.56,0.16,0,0.52,1.61,14.24,85.96,0.3,24.72
23,2018-07-18 11:23,13.04,0.01,0,0.67,0.98,13.71,85.76,0.29,24.67
24,2018-07-18 11:23,11.38,0.28,0,1.13,1.89,12.78,85.31,0.32,24.81
25,2018-07-18 11:23,5.6,1.22,0.86,0,1.46,7.68,86.51,0.29,24.73
26,2018-07-18 11:23,20.66,1.17,0,0.74,1.56,22.57,83.71,0.3,24.91
27,2018-07-18 11:23,15.19,1.79,0,0.14,1.58,17.12,84.32,0.3,24.92
28,2018-07-18 11:23,10.02,0.41,0.75,1.29,1.85,12.46,85.41,0.3,24.83
29,2018-07-18 11:23,7.64,0,0,0.96,1.46,8.61,86.31,0.3,24.93
30,2018-07-18 11:23,6.33,0.54,0,0.37,1.36,7.24,86.78,0.3,24.92
31,2018-07-18 11:23,4.94,0.2,0,1.22,1.36,6.37,85.83,0.3,25.1
32,2018-07-18 11:23,13.93,0.4,0,0.66,1.57,14.99,85.86,0.3,25.09
33,2018-07-18 11:23,3.27,0,0.77,0.68,1.52,4.72,86.04,0.3,25.1
34,2018-07-18 11:23,13.1,0.43,0.33,0.43,1.38,14.3,85.37,0.31,25.04
35,2018-07-18 11:23,16.97,0.05,0,1.09,1.83,18.1,84.51,0.29,25.11
36,2018-07-18 11:23,18.36,0.3,0.3,0.26,1.34,19.22,84.65,0.31,25.09
37,2018-07-18 11:23,2.61,0,0.59,0.95,1.54,4.15,86.5,0.31,25.14
38,2018-07-18 11:23,9.34,0,0,1.01,1.75,10.36,85.03,0.3,25.08
39,2018-07-18 11:23,4.89,0.36,1.33,0,1.55,6.57,86.02,0.29,25.19
40,2018-07-18 11:23,8.41,1.46,0,0.29,1.22,10.17,85.35,0.32,25.2
41,2018-07-18 11:23,12.3,0.99,3.86,0,1.04,17.15,85.17,0.31,25.2
42,2018-07-18 11:23,7.86,0.35,0,0.71,1.46,8.92,85.9,0.3,25.3
43,2018-07-18 11:23,5.81,0.62,0,0.92,1.63,7.35,85.58,0.31,25.37
44,2018-07-18 11:23,5.83,1.4,0,0.17,1.46,7.39,86.32,0.31,25.28
45,2018-07-18 11:23,4.38,0,2.21,0.52,0.9,7.12,86.58,0.3,25.37
46,2018-07-18 11:23,7.29,0.71,0,0.82,1.35,8.82,85.62,0.31,25.37
47,2018-07-18 11:23,4.85,0,0,1.17,1.59,6.02,86.08,0.3,25.39
48,2018-07-18 11:23,11.7,0.76,0,0.19,1.45,12.66,86,0.3,25.36
