tank,Date/Time,Green Algae,Bluegreen,Diatoms,Cryptophyta,Yellow substances,Total conc.,Transmission,Depth,Temp. Sample,notes
,date,µg/l,µg/l,µg/l,µg/l,r.u.,µg/l,%,m,°C,
1,2018-07-20 12:19,16.31,0.71,0,0.74,1.33,17.77,84.06,0.31,23.54,
2,2018-07-20 12:19,19.94,0.79,0,0.25,1.39,20.99,84.56,0.3,23.54,
3,2018-07-20 12:19,9.18,0.66,0,0.22,1.3,10.06,85.35,0.31,23.65,
4,2018-07-20 12:19,15.89,1.65,0,0.66,1.63,18.2,84.34,0.32,23.69,
5,2018-07-20 12:19,25.79,0.62,0,0.29,1.58,26.71,83.72,0,23.8,
6,2018-07-20 12:19,11.46,0.94,0,0.59,1.51,12.99,83.7,0.3,23.87,
7,2018-07-20 12:19,11.17,0.53,0,0.42,1.29,12.12,85.68,0.31,23.98,
8,2018-07-20 12:19,14.56,0,3.68,0.65,1.47,18.89,84.12,0,24.01,
9,2018-07-20 12:19,7.67,0.08,0,0.85,1.32,8.6,85.21,0.3,24.02,
10,2018-07-20 12:19,3.36,0.28,0.85,0.24,1.18,4.73,85.88,0,24.08,
11,2018-07-20 12:19,2.23,0.45,0,0.77,1.71,3.45,85.15,0.3,24.08,
12,2018-07-20 12:19,18.59,0.57,0,0.16,1.55,19.31,84.81,0.31,24.16,
13,2018-07-20 12:19,20.24,0.4,0,0.21,1.36,20.85,84.95,0.31,24.15,
14,2018-07-20 12:19,6.84,0.29,1.67,0,1.08,8.79,85.67,0.31,24.25,
15,2018-07-20 12:19,18.89,1.13,0,0.13,1.89,20.14,84.93,0.31,24.23,
16,2018-07-20 12:19,10.97,0.64,1.62,0,1.3,13.22,85.53,0.3,24.31,
17,2018-07-20 12:19,8.56,0.03,0.59,0.41,1.11,9.59,85.48,0.3,24.24,
18,2018-07-20 12:19,8.01,0.23,1.28,0,1.19,9.52,85.08,0.31,24.35,
19,2018-07-20 12:19,29.46,0.79,0,0,1.41,30.25,84.96,0.31,24.33,
20,2018-07-20 12:19,11.05,0.58,0,0.73,1.39,12.36,85.48,0.3,24.38,
21,2018-07-20 12:19,10.8,0.6,0,0.78,1.52,12.18,85.12,0.31,24.4,
22,2018-07-20 12:19,14.79,0.5,0,0.58,1.66,15.86,85.42,0.31,24.35,
23,2018-07-20 12:19,10.94,0,1.98,0.15,1.05,13.08,86.12,0.29,24.41,
24,2018-07-20 12:19,11.86,1.17,0,0.13,1.65,13.16,85.51,0.3,24.48,
25,2018-07-20 12:19,8.76,0.51,0,0.75,1.28,10.02,86.8,0.29,24.62,
26,2018-07-20 12:19,18.21,1.6,0,1.11,1.65,20.92,84.97,0.31,24.66,
27,2018-07-20 12:19,17.17,1.05,0,0.5,1.56,18.72,84.58,0.31,24.63,
28,2018-07-20 12:19,13.87,0,1.44,1.03,1.24,16.34,85.38,0.29,24.66,
29,2018-07-20 12:19,10.33,0.55,0.51,0.56,1.44,11.94,86.79,0.3,24.65,
30,2018-07-20 12:19,7.39,0.79,0,0.7,1.36,8.88,86.63,0.31,24.66,
31,2018-07-20 12:19,6.08,0,1.32,0.93,1.18,8.33,85.44,0,24.78,
32,2018-07-20 12:19,19.06,0.54,0,0.89,1.45,20.49,85.82,0.31,24.74,
33,2018-07-20 12:19,3.59,0,0,0.56,1.29,4.14,86.43,0,24.76,
34,2018-07-20 12:19,14.41,0,0,0.99,1.29,15.4,85.49,0.3,24.75,
35,2018-07-20 12:19,23.4,0.56,0,0.59,1.64,24.56,84.82,0.31,24.8,
36,2018-07-20 12:19,20.32,0.23,0,0.15,1.7,20.71,85.07,0.3,24.83,
37,2018-07-20 12:19,5.31,0.63,0,0.4,1.51,6.34,86.66,0.3,24.82,
38,2018-07-20 12:19,10.45,0.72,0,0.34,1.72,11.51,85.98,0.31,24.8,
39,2018-07-20 12:19,8.43,0,0,0.9,1.54,9.33,86.05,0.29,24.82,
40,2018-07-20 12:19,8.66,1.11,0,0.26,1.4,10.02,85.55,0.29,24.79,
41,2018-07-20 12:19,10.59,0.24,0,0.83,1.2,11.66,86.3,0,24.85,
42,2018-07-20 12:19,9.41,0.77,2.56,0,1.28,12.74,86.15,0.31,24.74,
43,2018-07-20 12:19,7.06,0.59,0,0.88,1.72,8.53,85.75,0.31,24.92,
44,2018-07-20 12:19,5.94,1.14,0.58,0,1.49,7.67,85.66,0.3,24.85,
45,2018-07-20 12:19,8.83,0.08,1.44,0.18,0.86,10.53,86.47,0.3,24.9,
46,2018-07-20 12:19,11.72,1.38,0,0.69,1.31,13.78,85.8,0.3,24.93,
47,2018-07-20 12:19,7.4,0,0,0.63,1.31,8.02,86.7,0.31,24.91,
48,2018-07-20 12:19,13.57,0.88,0,0,1.55,14.45,85.9,0.3,24.95,
