tank,Date/Time,Green Algae,Bluegreen,Diatoms,Cryptophyta,Yellow substances,Total conc.,Transmission,Depth,Temp. Sample,Green Algae,Bluegreen,Diatoms,Cryptophyta,#4,#5,#6,Yellow substances,Total cell count,Trans. 700 nm,LED 3 [525 nm],LED 4 [570 nm],LED 5 [610 nm],LED 6 [370 nm],LED 7 [590 nm],LED 8 [470 nm],Pressure,Temp. LEDs,Temp. Sensor
,date,µg/l,µg/l,µg/l,µg/l,r.u.,µg/l,%,m,°C,cells/ml,cells/ml,cells/ml,cells/ml,cells/ml,cells/ml,cells/ml,r.u.,cells/ml,digits,digits,digits,digits,digits,digits,digits,bar,°C,°C
1,2018-07-23 16:05,27.83,1.87,0,0.33,1.32,30.03,84.36,0.3,23.46,14752,1869,0,10,0,0,0,0,16630,516.1,20.72,9.16,23.47,55.7,29.43,92.95,1.03,24.57,23.7
2,2018-07-23 16:05,31.26,0.87,0,0.18,1.24,32.32,85.34,0.3,23.57,16570,873,0,6,0,0,0,0,17449,522.07,20.27,7.91,21.1,58.33,27.92,100.81,1.03,24.87,23.85
3,2018-07-23 16:05,15.15,0.5,0,0.34,1.18,15.99,86.24,0.29,23.78,8031,498,0,10,0,0,0,0,8539,527.6,13.08,4.85,11.17,35.94,16.57,55.77,1.03,25.12,24.06
4,2018-07-23 16:05,22.35,1.53,0,0.17,1.45,24.05,85.19,0.29,23.85,11843,1526,0,5,0,0,0,0,13374,521.2,17.85,6.26,18.93,49.22,24.11,78.09,1.03,25.15,24.19
5,2018-07-23 16:05,31.58,0.09,0,0.29,1.31,31.96,84.7,0.28,24.01,16737,93,0,9,0,0,0,0,16839,518.2,19.93,7.51,18.49,59.32,26.29,102.64,1.03,25.34,24.45
6,2018-07-23 16:05,18.49,0.45,0,0.67,1.33,19.62,84.76,0.28,24.06,9801,452,0,20,0,0,0,0,10273,518.56,16.4,5.96,14.16,42.93,20.01,68.13,1.03,25.33,24.59
7,2018-07-23 16:05,20.86,0.9,0,0,1.42,21.76,86.09,0.28,24.11,11054,899,0,0,0,0,0,0,11953,526.67,14.87,5.66,14.79,46.16,20.74,72.6,1.03,25.46,24.65
8,2018-07-23 16:05,17.87,0,5.9,0,0.91,23.78,85.29,0.28,24.18,9472,0,2657,0,0,0,0,0,12129,521.79,23.7,5.66,12.47,44.61,19.64,81.73,1.03,25.54,24.8
9,2018-07-23 16:05,11.01,0.16,0.82,0.59,1.04,12.58,85.57,0.3,24.41,5837,162,367,18,0,0,0,0,6384,523.47,13.6,4.06,9.9,30.26,13.55,46.96,1.03,25.65,25.01
