tank,Date/Time,Green Algae,Bluegreen,Diatoms,Cryptophyta,Yellow substances,Total conc.,Transmission,Depth,Temp. Sample
,date,µg/l,µg/l,µg/l,µg/l,r.u.,µg/l,%,m,°C
1,2018-07-24 12:04,18.13,2.14,0,0.47,1.47,20.74,84.56,0.3,23.69
2,2018-07-24 12:04,23.37,1.37,0,0,1.56,24.74,85.88,0.3,23.72
3,2018-07-24 12:04,12.39,0.56,0,0.39,1.26,13.34,86.08,0.3,23.8
4,2018-07-24 12:04,19.24,1.05,0,0.29,1.6,20.58,84.86,0.3,23.88
5,2018-07-24 12:04,22.16,0.19,0,0.08,1.49,22.43,85.09,0.3,23.89
6,2018-07-24 12:04,14.06,0.87,0,0.52,1.33,15.44,84.49,0.3,24.1
7,2018-07-24 12:04,20.45,0.75,0,0.05,1.12,21.24,85.76,0.33,24.14
8,2018-07-24 12:04,15.79,0,4.44,0,0.87,20.22,85.3,0.31,24.12
9,2018-07-24 12:04,8.05,0,0.91,0.7,1.28,9.66,85.79,0.29,24.18
10,2018-07-24 12:04,5.05,0.4,0,0.52,1.2,5.96,87.48,0.29,24.31
11,2018-07-24 12:04,3.42,0.52,0,0.61,1.58,4.56,86.62,0.3,24.36
12,2018-07-24 12:04,23.2,0.32,0,0.21,1.49,23.73,85.58,0.31,24.41
13,2018-07-24 12:04,21.27,0.29,0,0.9,1.43,22.46,85.5,0.29,24.52
14,2018-07-24 12:04,7.22,0.36,1.72,0.22,1.09,9.51,86.64,0.29,24.52
15,2018-07-24 12:04,24.4,0.51,0,0.57,1.73,25.48,85.49,0.3,24.59
16,2018-07-24 12:04,20.33,0,0,0.49,1.22,20.82,86.05,0.31,24.76
17,2018-07-24 12:04,8.51,0.55,0,0.09,1.1,9.15,86.96,0.31,24.69
18,2018-07-24 12:04,8.35,0.11,0.17,0.77,1.65,9.4,85.5,0.31,24.74
19,2018-07-24 12:04,36.78,1.17,0,0,1.58,37.95,84.96,0.3,24.74
20,2018-07-24 12:04,8.62,0.98,0,0.71,1.61,10.31,85.91,0.3,24.82
21,2018-07-24 12:04,12.59,0.77,0,0.43,1.44,13.8,85.89,0.3,24.7
22,2018-07-24 12:04,18.49,1.22,0,0.26,1.61,19.97,86.07,0.31,24.98
23,2018-07-24 12:04,11.2,0.58,0,0.41,1.16,12.19,86.42,0.3,24.92
24,2018-07-24 12:04,19.6,0.3,0,0.54,1.64,20.44,85.54,0.3,24.96
25,2018-07-24 12:04,10.12,1.03,0.44,0,1.46,11.59,86.69,0.3,24.99
26,2018-07-24 12:04,10.72,2.48,0,0.74,1.7,13.94,85.74,0.31,25.06
27,2018-07-24 12:04,12.69,0.96,0,0.75,1.72,14.4,86.78,0.29,25
28,2018-07-24 12:04,5.58,0.59,1.48,0,1.23,7.65,87.19,0.29,25.11
29,2018-07-24 12:04,14.59,0.29,0,1.02,1.46,15.9,87.02,0.3,25.17
30,2018-07-24 12:04,12.04,1.45,0,0.6,1.39,14.08,86.39,0.31,25.21
31,2018-07-24 12:04,6.09,0.17,0,0.9,1.37,7.16,86.86,0.3,25.19
32,2018-07-24 12:04,27.22,0.86,0,0.28,1.54,28.36,85.71,0.31,25.28
33,2018-07-24 12:04,6.5,0,1.84,0.38,1.23,8.71,87.33,0.3,25.28
34,2018-07-24 12:04,17.23,0.32,0,0.68,1.24,18.23,86.16,0.3,25.18
35,2018-07-24 12:04,30.79,0.87,0,0.48,1.38,32.13,84.52,0.3,25.31
36,2018-07-24 12:04,15.22,0.38,0,0.49,1.89,16.1,85.96,0.29,25.25
37,2018-07-24 12:04,8.07,1,0,0.67,1.74,9.74,86.9,0.3,25.44
38,2018-07-24 12:04,16.16,0.33,0,0.7,1.71,17.19,86.08,0.29,25.39
39,2018-07-24 12:04,11.4,0.97,0,0.72,1.75,13.09,86.95,0.3,25.45
40,2018-07-24 12:04,9.8,1.21,1.76,0,1.36,12.76,86.66,0.29,25.36
41,2018-07-24 12:04,12.78,0.88,0.47,0,0.99,14.13,86.14,0.3,25.44
42,2018-07-24 12:04,13.6,0,1.66,0.53,1.12,15.79,86.42,0.3,25.49
43,2018-07-24 12:04,9.15,0.51,0,1,1.58,10.65,86.97,0.3,25.5
44,2018-07-24 12:04,6.96,0.78,0,0.67,1.63,8.41,86.41,0.3,25.59
45,2018-07-24 12:04,6.36,0.07,0,0.49,0.95,6.93,87.06,0.3,25.53
46,2018-07-24 12:04,12.83,0,3.45,1.11,1.61,17.38,86.83,0.3,25.61
47,2018-07-24 12:04,9.01,0.46,0,0.56,1.1,10.03,87.22,0.3,25.59
48,2018-07-24 12:04,14.32,0.3,0,0.84,1.46,15.47,86.02,0.3,25.59
