tank,Date/Time,Green Algae,Bluegreen,Diatoms,Cryptophyta,#4,#5,#6,Yellow substances,Total conc.,Transmission,Depth,Temp. Sample,Green Algae,Bluegreen,Diatoms,Cryptophyta,#4,#5,#6,Yellow substances,Total cell count,Trans. 700 nm,LED 3 [525 nm],LED 4 [570 nm],LED 5 [610 nm],LED 6 [370 nm],LED 7 [590 nm],LED 8 [470 nm],Pressure,Temp. LEDs,Temp. Sensor
,date,µg/l,µg/l,µg/l,µg/l,µg/l,µg/l,µg/l,r.u.,µg/l,%,m,¡C,cells/ml,cells/ml,cells/ml,cells/ml,cells/ml,cells/ml,cells/ml,r.u.,cells/ml,digits,digits,digits,digits,digits,digits,digits,bar,¡C,¡C
1,2018-06-22 11:47,12.25,0.21,0,0.28,0,0,0,1.18,12.74,83.88,0.3,24.15,6494,208,0,8,0,0,0,0,6711,513.14,11.61,3.05,8.97,31.64,12.94,47.35,1.03,25.66,25.64
2,2018-06-22 11:47,0,0.46,0.76,0.27,0,0,0,1.38,1.49,85.17,0.3,24.21,0,460,341,8,0,0,0,0,809,521.03,9.34,2.64,4.89,19.25,5.03,17.33,1.03,25.62,25.75
3,2018-06-22 11:47,9.7,0.21,0,0.32,0,0,0,1.37,10.23,84.46,0.32,24.26,5143,208,0,9,0,0,0,0,5360,516.69,10.8,5.34,8.14,30.68,10.92,42.15,1.03,25.64,25.89
4,2018-06-22 11:47,13.77,0.77,0,0,0,0,0,1.37,14.54,84.17,0.29,24.2,7296,772,0,0,0,0,0,0,8068,514.95,10.7,3.03,11.59,36.12,14.91,52.34,1.03,25.72,25.91
5,2018-06-22 11:47,27.43,0,0,0,0,0,0,1.43,27.43,83.54,0.3,24.29,14536,0,0,0,0,0,0,0,14536,511.09,16.05,6.99,15.4,54.35,20.21,91.37,1.03,25.72,26
6,2018-06-22 11:47,20.4,0,0,0,0,0,0,1.68,20.4,84.01,0.32,24.22,10811,0,0,0,0,0,0,0,10811,513.96,14.06,5.45,13.05,47.98,15.4,73.86,1.03,25.82,26.01
7,2018-06-22 11:47,6.89,0.91,0.82,0,0,0,0,1.26,8.63,84.7,0.31,24.39,3653,909,371,0,0,0,0,0,4933,518.17,10.75,2.95,8.9,26.65,10.85,35.09,1.03,25.78,26.11
8,2018-06-22 11:47,10.57,0.3,0,0,0,0,0,1.23,10.87,85.41,0.3,24.34,5600,299,0,0,0,0,0,0,5899,522.54,7.3,4.44,8.74,30.05,10.33,41.82,1.03,25.91,26.31
9,2018-06-22 11:47,2.01,0.12,0,0.78,0,0,0,1.53,2.91,85.35,0,24.52,1067,123,0,23,0,0,0,0,1213,522.12,9.88,2.24,4.69,23.06,8.22,24.4,1.03,26.04,26.61
10,2018-06-22 11:47,0.88,0.94,3.11,0,0,0,0,1.55,4.93,85.1,0.29,24.46,469,943,1397,0,0,0,0,0,2809,520.6,13.34,2.95,7.42,25.84,9.4,29.58,1.03,25.99,26.7
11,2018-06-22 11:47,9.88,0.19,0,0,0,0,0,0.97,10.08,85.43,0,24.5,5238,193,0,0,0,0,0,0,5431,522.65,8.57,2.82,7.48,25.38,9.16,37.33,1.03,26.09,26.93
12,2018-06-22 11:47,0.84,0.97,0,0.74,0,0,0,1.62,2.55,84.54,0.3,24.58,447,973,0,22,0,0,0,0,1442,517.2,10.02,5.67,7.16,23.24,9.8,22.02,1.03,26.13,27.03
13,2018-06-22 11:47,8.43,1,0,0,0,0,0,1.23,9.43,85.08,0.31,24.61,4469,1001,0,0,0,0,0,0,5469,520.49,8.88,3.77,7.44,27.26,13.19,36.09,1.03,26.08,26.97
14,2018-06-22 11:47,17.54,0,0.04,0,0,0,0,1.46,17.58,84.78,0.32,24.6,9298,0,17,0,0,0,0,0,9315,518.64,13.68,2.07,11.88,41.36,13.68,63.71,1.03,26.08,27.24
15,2018-06-22 11:47,3.06,0.4,0,0.21,0,0,0,1.43,3.67,85.18,0.3,24.69,1624,402,0,6,0,0,0,0,2032,521.08,7.6,4.71,4.66,22.43,6.86,23.73,1.03,26.21,27.31
16,2018-06-22 11:47,5.79,0.63,0.69,0,0,0,0,1.39,7.11,84.07,0.31,24.64,3069,632,310,0,0,0,0,0,4011,514.34,10.04,1.75,7.26,26.31,9.29,32.72,1.03,26.3,27.37
17,2018-06-22 11:47,2.68,0.66,0,0,0,0,0,1.39,3.34,85.66,0.31,24.75,1421,662,0,0,0,0,0,0,2082,524.02,6.91,1.3,4.31,21.08,7.41,21.48,1.03,26.29,27.41
18,2018-06-22 11:47,12.72,0,0.97,0,0,0,0,1.25,13.69,85,0.3,24.72,6740,0,439,0,0,0,0,0,7179,520.01,12.6,3.65,8.61,34.02,11.86,51.64,1.03,26.23,27.46
19,2018-06-22 11:47,2.48,0.14,0.3,0.58,0,0,0,1.24,3.49,85.51,0.3,24.77,1315,137,133,17,0,0,0,0,1602,523.13,9.1,1.72,4.3,20.22,7.91,23.04,1.03,26.24,27.41
20,2018-06-22 11:47,3.07,0.85,0,0.1,0,0,0,1.38,4.01,85.27,0.3,24.66,1626,849,0,3,0,0,0,0,2478,521.65,7.45,5.08,5.73,21.91,8.04,22.87,1.03,26.28,27.49
21,2018-06-22 11:47,6.47,1.1,2.05,0,0,0,0,1.74,9.62,84.96,0.31,24.79,3428,1102,924,0,0,0,0,0,5454,519.78,14.44,2.83,9.81,33.98,13.52,43.19,1.03,26.37,27.56
22,2018-06-22 11:47,1.24,0.12,2.44,0.01,0,0,0,1.05,3.81,85.1,0.31,24.89,655,123,1099,0,0,0,0,0,1878,520.64,9.91,1.56,3.41,18.64,6.26,23.05,1.03,26.41,27.7
23,2018-06-22 11:47,3.88,0.42,0,0.48,0,0,0,1.35,4.78,85.49,0.31,24.85,2056,418,0,14,0,0,0,0,2489,523.03,9.32,3.27,6.09,22.95,8.65,26.51,1.03,26.49,27.66
24,2018-06-22 11:47,5.52,0.79,0,0.23,0,0,0,1.69,6.55,85.41,0.3,24.89,2926,791,0,7,0,0,0,0,3724,522.49,10.05,2.24,6.4,29.08,11.74,33.47,1.03,26.35,27.73
25,2018-06-22 11:47,1.78,0.43,1.09,0.13,0,0,0,1.33,3.42,86.11,0.3,24.91,944,426,490,4,0,0,0,0,1863,526.78,9.04,0.32,3.68,20.9,7.94,22.93,1.03,26.42,27.9
26,2018-06-22 11:47,12.58,0.23,0,0.1,0,0,0,1.63,12.91,84.13,0.29,24.87,6665,226,0,3,0,0,0,0,6894,514.69,12.33,6.76,10.89,37.21,10.66,51.68,1.03,26.43,27.76
27,2018-06-22 11:47,8.04,1.13,0,0,0,0,0,1.47,9.17,85.57,0.31,24.9,4263,1131,0,0,0,0,0,0,5394,523.48,10.02,2.93,9.8,29.57,11.98,37.34,1.03,26.49,27.85
28,2018-06-22 11:47,11.92,0.32,0,0,0,0,0,1.13,12.23,84.35,0.3,24.97,6316,315,0,0,0,0,0,0,6632,516.01,9.69,2.71,8.1,30.18,12.13,44.65,1.03,26.46,27.97
29,2018-06-22 11:47,3.05,0.69,0,0.67,0,0,0,1.28,4.4,85.55,0.32,24.96,1614,689,0,20,0,0,0,0,2323,523.37,9.82,3.66,7,21.58,9.86,24.45,1.03,26.52,28.09
30,2018-06-22 11:47,0.23,1.68,1.14,0,0,0,0,1.43,3.05,85.8,0.31,25,122,1680,513,0,0,0,0,0,2315,524.92,9.61,3.6,8.03,20.84,9.6,19.51,1.03,26.54,28.22
31,2018-06-22 11:47,3.91,0.18,0,0.71,0,0,0,0.83,4.81,85.41,0.31,25.05,2075,181,0,21,0,0,0,0,2277,522.53,8.43,4.44,5.56,17.2,8.34,22.58,1.03,26.63,28.13
32,2018-06-22 11:47,2.3,0,0,1.12,0,0,0,1.25,3.42,84.88,0.3,25,1219,0,0,34,0,0,0,0,1253,519.27,10.31,2.51,4.02,20.65,10.18,24.08,1.03,26.56,28.21
33,2018-06-22 11:47,4.01,0.67,0.23,0,0,0,0,1.64,4.91,85.4,0.3,25.06,2128,666,105,0,0,0,0,0,2899,522.45,8.97,2.15,6.08,26.15,8.01,28.43,1.03,26.43,28.18
