tank,Date/Time,Green Algae,Bluegreen,Diatoms,Cryptophyta,Yellow substances,Total conc.,Transmission,Depth,Temp. Sample
,date,µg/l,µg/l,µg/l,µg/l,r.u.,µg/l,%,m,°C
1,2018-06-25 10:11,12.07,0.66,0,0.29,1.41,13.02,84.34,0.26,24.04
2,2018-06-25 10:11,3.07,0.74,0,0.55,1.26,4.36,84.55,0.24,24.44
3,2018-06-25 10:11,8.77,0.86,0.05,0.62,1.52,10.3,84.45,0.27,24.5
4,2018-06-25 10:11,14.9,1.51,0,0.2,1.72,16.61,83.65,0.25,24.5
5,2018-06-25 10:11,24.77,0,0,0.3,1.65,25.07,83.1,0.24,24.49
6,2018-06-25 10:11,18.2,0.05,0,0.44,1.3,18.69,83.64,0.27,24.63
7,2018-06-25 10:11,7.56,1.17,0,0,1.35,8.73,84.44,0.24,24.66
8,2018-06-25 10:11,7.89,0,0,0.37,1.37,8.26,84.64,0.24,24.58
9,2018-06-25 10:11,2,0.64,0.72,0,1.25,3.35,85.88,0.27,24.66
10,2018-06-25 10:11,7.93,0.49,0,0.75,1.27,9.17,85.04,0.24,24.69
11,2018-06-25 10:11,6.73,0.47,0,0.25,1.56,7.46,85.61,0.25,24.66
12,2018-06-25 10:11,3.36,1.71,0,0.74,1.61,5.81,84.85,0.24,24.73
13,2018-06-25 10:11,10.17,1.12,0,0.29,1.41,11.58,84.92,0.25,24.64
14,2018-06-25 10:11,6.47,0.51,0,0.74,1.55,7.71,85.46,0.26,24.81
15,2018-06-25 10:11,6.48,1.3,1.66,0,1.41,9.44,84.95,0.28,24.78
16,2018-06-25 10:11,4.91,1.11,0,0.28,1.67,6.29,84.89,0.25,24.79
17,2018-06-25 10:11,6.82,1,0,0.34,1.38,8.15,85.26,0.23,24.87
18,2018-06-25 10:11,10.71,0.58,0,0,1.45,11.29,85.32,0.23,24.92
19,2018-06-25 10:11,6.62,0.96,0.72,0.11,1.35,8.41,84.95,0.25,24.89
20,2018-06-25 10:11,4.08,1.78,0,0.34,1.62,6.2,84.93,0.27,24.85
21,2018-06-25 10:11,5.73,1.38,0,0.1,1.57,7.21,85,0.24,24.89
22,2018-06-25 10:11,1.88,0.48,4.96,0.27,1.74,7.58,86.25,0.26,24.93
23,2018-06-25 10:11,6.64,0.49,0,0.38,1.19,7.5,85.75,0.22,24.93
24,2018-06-25 10:11,5.61,0.57,0,0.62,1.57,6.8,85.07,0.25,25.03
25,2018-06-25 10:11,4.52,0,4.33,0.67,1.26,9.52,85.63,0.26,24.98
26,2018-06-25 10:11,7.46,0.56,1.21,0.28,1.48,9.52,85.41,0.26,24.99
27,2018-06-25 10:11,9.6,0.88,0,0.72,1.37,11.2,84.98,0.23,24.99
28,2018-06-25 10:11,1.67,0.39,0,0.7,1.31,2.75,86.1,0.27,25.13
29,2018-06-25 10:11,3.47,0.78,0.2,0.27,1.06,4.73,85.17,0.24,25.11
30,2018-06-25 10:11,1.67,0.91,0,0.82,1.38,3.4,85.74,0.25,25.15
31,2018-06-25 10:11,4.22,0.99,0,0.6,1.47,5.82,84.82,0.24,25.16
32,2018-06-25 10:11,4.92,1.17,0,0.03,1.66,6.13,85.14,0.26,25.12
33,2018-06-25 10:11,0.86,0.82,0,0.05,1.68,1.73,85.61,0.23,25.23
34,2018-06-25 10:11,4.6,0.62,0,0.44,1.31,5.66,85.28,0.24,25.19
35,2018-06-25 10:11,8.26,1.22,0,0.57,1.61,10.05,85.13,0.24,25.16
36,2018-06-25 10:11,4.77,1.31,0,0.28,1.85,6.36,85.6,0.25,25.22
37,2018-06-25 10:11,5.24,0.75,0,0.12,1.41,6.11,85.65,0.26,25.22
38,2018-06-25 10:11,6.67,1.08,0,0.36,1.51,8.1,85.08,0.27,25.32
39,2018-06-25 10:11,1.37,0.82,0.15,0,1.42,2.35,86.29,0.24,25.34
40,2018-06-25 10:11,2.07,1.05,0,0.61,1.54,3.73,84.9,0.27,25.37
41,2018-06-25 10:11,3.51,0.83,0,0.35,1.1,4.69,85.82,0.25,25.3
42,2018-06-25 10:11,0.18,0.47,0,0.56,1.38,1.21,86.18,0.27,25.37
43,2018-06-25 10:11,8.71,1.34,0,0.6,1.72,10.65,84.96,0.27,25.35
44,2018-06-25 10:11,3.72,0.39,0,0.65,1.34,4.77,86.7,0.26,25.38
45,2018-06-25 10:11,5.6,0.75,1.09,0,1.18,7.44,86.03,0.27,25.35
46,2018-06-25 10:11,0.33,0.05,0,0.96,1.57,1.35,86.17,0.24,25.32
47,2018-06-25 10:11,8.16,0,0,1.57,1.23,9.73,85.14,0.25,25.39
48,2018-06-25 10:11,8.49,0.4,0,0.35,1.22,9.24,85.87,0.26,25.4
