tank,Date/Time,Green Algae,Bluegreen,Diatoms,Cryptophyta,Yellow substances,Total conc.,Transmission,Depth,Temp. Sample
,date,µg/l,µg/l,µg/l,µg/l,r.u.,µg/l,%,m,°C
1,2018-09-04 15:04,26.57,4.1,0,0.39,1.51,31.06,81.6,0.29,22.45
2,2018-09-04 15:04,54.46,1.13,0,0.25,1.81,55.83,78.4,0.29,22.57
3,2018-09-04 15:04,18.22,0.89,0,1.26,1.21,20.37,85.14,0.29,22.64
4,2018-09-04 15:04,38.81,0.74,0,0.78,1.3,40.33,81.04,0.3,22.96
5,2018-09-04 15:04,32.11,0,0,1.45,1.35,33.56,82.74,0.29,23.06
6,2018-09-04 15:04,5.06,0.22,0,0.95,1.81,6.24,85,0.29,23.16
7,2018-09-04 15:04,48.46,1.4,0,0.15,1.75,50.01,79.11,0.3,23.35
8,2018-09-04 15:04,8.04,0.56,0,0.46,1.26,9.06,87.06,0.27,23.45
9,2018-09-04 15:04,8.18,0,1.17,0.35,1.14,9.7,86.55,0.3,23.5
10,2018-09-04 15:04,47.03,0,0,0.53,2.36,47.56,81.98,0.29,23.86
11,2018-09-04 15:04,37.34,1.86,0,1.04,1.6,40.24,81.25,0.29,23.94
12,2018-09-04 15:04,33.3,2.09,0,0.62,1.68,36.01,82.18,0.29,23.97
13,2018-09-04 15:04,14.74,0.34,0,1.61,1.45,16.68,85.11,0.3,23.94
14,2018-09-04 15:04,54.12,0,3.71,0.93,2.53,58.77,79.65,0.29,24.07
15,2018-09-04 15:04,8.49,0.56,0,0.85,1.45,9.9,86.08,0.28,23.98
16,2018-09-04 15:04,26.9,0,0,0,0.62,26.9,85.72,0.27,24.16
17,2018-09-04 15:04,24.39,0,1.4,0,1.1,25.79,85.63,0.29,24.17
18,2018-09-04 15:04,18.1,0,0,0.62,1.56,18.73,85.63,0.29,24.23
19,2018-09-04 15:04,34.21,3.83,0,0.85,1.08,38.89,79.07,0.26,24.21
20,2018-09-04 15:04,24.53,0,17.75,0,1.76,42.28,82.63,0.27,24.24
21,2018-09-04 15:04,24.06,0,0,0.99,1.55,25.05,85.14,0.29,24.27
22,2018-09-04 15:04,19.67,0.96,0,0.14,1.97,20.77,84.63,0.29,24.22
23,2018-09-04 15:04,19.73,0,1.05,0.48,1.61,21.26,85.89,0.29,24.3
24,2018-09-04 15:04,22.99,1.07,0,0.4,2.38,24.45,83.66,0.27,24.41
25,2018-09-04 15:04,24.48,1.21,0,1.84,2.12,27.52,84.03,0.29,24.36
26,2018-09-04 15:04,47.86,1.99,0,2.52,2.54,52.37,79.75,0.29,24.27
27,2018-09-04 15:04,29.82,1.91,0,0.69,1.68,32.42,81.28,0.3,24.43
28,2018-09-04 15:04,25.5,0.37,0,0.42,1.69,26.29,84.29,0.29,24.47
29,2018-09-04 15:04,31.07,1.35,0,0,1.77,32.42,84.57,0.3,24.42
30,2018-09-04 15:04,38.13,1.31,0,0.3,2,39.74,84.44,0.29,24.47
31,2018-09-04 15:04,20.99,0.97,0,0.01,1.67,21.97,86.43,0.27,24.39
32,2018-09-04 15:04,44.52,0.44,0,0.73,2.81,45.7,83.57,0.3,24.46
33,2018-09-04 15:04,9.02,1.06,0.46,0.09,1.09,10.63,87.51,0.29,24.51
34,2018-09-04 15:04,11.92,0.32,0,0.6,1.38,12.84,87.57,0.29,24.55
35,2018-09-04 15:04,15.53,7.34,0,0.35,2.73,23.22,84.13,0.29,24.57
36,2018-09-04 15:04,37.6,0.86,0,0.17,2.63,38.63,83.58,0.28,24.48
37,2018-09-04 15:04,29.93,0.25,0,0.93,1.91,31.1,84.11,0.27,24.65
38,2018-09-04 15:04,16.03,6.68,0,0.81,2.55,23.51,80.63,0.29,24.61
39,2018-09-04 15:04,41.92,1.38,0,0.19,2.61,43.49,82.55,0.28,24.77
40,2018-09-04 15:04,16.37,2.06,0,0.19,1.63,18.62,85.13,0.29,24.63
41,2018-09-04 15:04,17.14,0.15,0,0.69,0.98,17.98,86.7,0.28,24.72
42,2018-09-04 15:04,24.9,0,0,0.59,1.81,25.49,85.17,0.28,24.75
43,2018-09-04 15:04,11.17,1.05,0,0.53,2.24,12.75,86.4,0.3,24.73
44,2018-09-04 15:04,2.64,1.02,1.05,0,1.81,4.7,86.8,0.3,24.85
45,2018-09-04 15:04,5.51,0,0.78,0.64,0.94,6.93,87.12,0.26,24.74
46,2018-09-04 15:04,19.63,6.43,0,3.92,2.24,29.98,78.19,0.29,24.84
47,2018-09-04 15:04,5.98,0.25,0,1.23,1.36,7.46,87.28,0.28,24.77
48,2018-09-04 15:04,16.41,0.91,0,0.87,2.33,18.19,85.29,0.29,24.88
