tank,week_number,temp,wattage,metacommunity,dispersal,ln_GPP_umol_L_h,benthic_chla_g_L,periphyton_chla_g_L,phytoplankton_chla_g_L,cyanobacteria_ugL,cryptophytes_ugL,diatoms_ugL,chlorophytes_ugL,total_fluoro_g_chla_L,total_fluoro_ug_C_L,ln_fluoro_ug_C_L,zoop_raw_g_L,ln_zoop_ug_L,volume,temp_K,inv_kT,inv_kTc,flowcam_particles_mL,diameter_mean,diameter_min,diameter_max,diameter_stdev,volume_mean,volume_min,volume_max,volume_stdev,carbon_g,X0_5um,X5_10um,X10_15um,X15_20um,X20_25um,X25_30um,X30_35um,X35_40um,prop_inedible,totalN,slope_size_spectra,CTMI_scaled,CPTI_scaled,ln_gpp_corr,sample_date
1,2,23.78090278,100,1,high,2.099581225,0.001954619,6.94e-05,0.0001594,0.66,0.4,0,9.61,1.07e-05,533.5,2.727134424,9e-04,6.003887067,692.1090604,296.9309028,39.06945342,-0.107478357,42348,4.72,1.47,23.08,2.88,34.6,0.04,6436.09,250.14,6e-06,4470.0612,568.098,46.062,61.416,15.354,2.0472,2.0472,0,409.44,4.289533982,-3.057230283,NA,NA,-0.627553199,6/27/18
2,2,24.14104167,200,1,high,2.186579476,0.009277858,3.12e-05,4.84e-05,0.83,0.48,0,1.3,2.61e-06,130.5,2.115610512,4e-04,5.192956851,608.4060366,297.2910417,39.02212461,-0.060149552,62057,5.8,2.3,24.17,2.94,116.92,0.76,6219.21,365.8,1.11e-05,343.116,321.936,26.828,6.354,4.236,0,0,0,0,1.021971102,-2.183075151,NA,NA,0.070968964,6/27/18
3,2,22.93604167,0,1,high,2.263283673,0.003942861,2.54e-05,0.0001716,0.67,0.63,0.24,7.95,9.48e-06,474.5,2.676236217,0.0016,6.579251212,787.4406895,296.0860417,39.18093541,-0.218960349,46025,3.83,1.73,19.76,2.4,74.5,0.8,4038.6,265.4,3.21e-06,3110.965,1052.942,126.179,43.51,7.3967,0,0,0,0,5.561133901,-2.634454032,NA,NA,-0.412952544,6/27/18
4,2,25.15625,300,1,high,2.039237863,0.003420354,6.86e-05,0.0003514,1.06,0.49,0,13.1,1.47e-05,732.5,2.864807629,0.0012,6.29156914,612.4776977,298.30625,38.88932288,0.072652178,61596,4.76,1.81,22.87,2.78,149,1.96,6264.6,547.3,6.15e-06,3202.92,3345.21,267.1425,53.7075,71.145,26.505,0,0,2650.5,4.569989306,-2.158564628,NA,NA,-0.825569766,6/27/18
5,2,24.57416667,200,2,none,1.787815642,0.006348932,4.38e-05,0.0002636,0.52,0,0.97,13.08,1.46e-05,728.5,2.862429556,4e-04,5.192956851,638.9434952,297.7241667,38.96535577,-0.003380705,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.890621567,NA,NA,NA,-1.074613914,6/27/18
6,2,25.22527778,300,2,none,1.980992535,0.004973873,6.14e-05,0.0001162,0.45,0.33,0,11.67,1.25e-05,622.5,2.794139356,3e-04,4.905274778,618.5851895,298.3752778,38.88032601,0.081649048,11628,1.76,0.73,13.99,1.93,128,2.02,1433.26,332.8,3.11e-07,326.025,1018.44,986.769,3878.766,0,0,0,0,0,9.493144755,1.087035051,NA,NA,-0.813146821,6/27/18
7,2,23.738125,100,2,none,1.790279803,0.003662388,8.42e-05,0.0001546,0.08,0.89,0,5.67,6.64e-06,332,2.521138084,8e-04,5.886104031,712.5372667,296.888125,39.07508283,-0.113107765,132920,1.76,0.73,13.99,1.93,134.65,0.9,5485,398,3.11e-07,1385.784,1407.057,194.496,23.4003,23.4003,3.6468,0,0,364.68,3.706729491,-2.431730972,NA,NA,-0.730858281,6/27/18
8,2,22.851875,0,2,none,1.995459043,0.003746411,5.13e-05,0.000139,0.76,0.25,0,9.1,1.01e-05,505.5,2.70372116,0.0013,6.371611847,721.6164694,296.001875,39.19207631,-0.230101254,19982,4.31,1.91,22.15,6.3,271,3.65,5690,648.36,4.57e-06,2561.418,1438.074,561.672,135.576,72.63,72.63,0,0,7263,2.187881883,-1.64298088,NA,NA,-0.708262117,6/27/18
9,2,22.61229167,0,3,low,1.845885502,0.006797053,7.46e-05,7.04e-05,0.66,0.08,0.43,2.37,3.55e-06,177,2.247973266,1e-04,3.80666249,751.1238784,295.7622917,39.223824,-0.261848939,22533,4.07,2.21,25.67,2.41,103.7,5.62,7863.6,561.49,3.85e-06,943.488,404.768,66.976,13.104,0,0,0,0,0,0.465892683,-2.063837009,NA,NA,-0.402087764,6/27/18
10,2,23.54201389,100,3,low,2.121479261,0.003955956,8.53e-05,0.0001864,0,1.1,0,8.79,9.89e-06,494.5,2.694166296,5e-04,5.416100402,679.6601068,296.6920139,39.10091115,-0.13893609,21650,4.06,1.79,24.47,2.61,99.6,0.24,7671.1,556.3,3.82e-06,2976.999,1472.039,188.12,16.9308,34.3319,16.9308,0,0,1693.08,4.805179463,-2.387530579,NA,NA,-0.572687035,6/27/18
