sample_date,tank,Ceratium,Cyclotella sp,Unknown_chlorophyte,Selenastrum,Rhodomonas sp.,Monoraphidium sp.,Acutodesmus obliquus,Large oocystis,Small oocystis,Actinotaenium,Chlamydomonas sp.,Chlorella vulgaris ,Crucigenia sp.,Chrysosphaera sp.,Anabaena sp.,Peridinium sp.,Dinobryon sertularia,Cryptomonas sp.
2018-09-05,1,0,0,0,0,0,0,3527,756,28344,2267,13605,3527,378,0,0,0,0,0
2018-09-05,2,0,0,0,0,0,0,9313,1394,43664,2342,4461,4963,781,10707,0,502,0,0
2018-09-05,3,0,0,0,0,0,0,2885,115,4559,2597,750,16216,231,0,58,0,0,0
2018-09-05,4,0,0,0,0,0,529,8464,2645,52107,13490,8993,16135,0,0,0,1323,0,0
2018-09-05,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-09-05,6,0,0,0,0,0,0,0,0,0,825,0,6601,0,5775,0,0,0,0
2018-09-05,7,0,0,0,0,0,0,5068,1207,56839,4224,3741,845,1931,845,121,483,0,0
2018-09-05,8,0,0,0,9704,1941,0,3882,1941,7763,2588,7763,10998,4529,5823,0,0,0,3235
2018-09-05,9,0,0,0,0,210,210,210,315,1259,734,629,5664,210,0,0,105,0,210
2018-09-05,10,0,0,0,0,0,3830,2758,919,1532,1379,3370,14094,0,3064,0,153,0,0
2018-09-05,11,0,0,0,0,187,6972,7408,560,747,15999,4420,5416,0,1245,0,0,0,6101
2018-09-05,12,0,0,0,0,0,5276,28755,528,29546,8442,8706,5540,1583,11608,0,0,0,0
2018-09-05,13,0,0,0,0,0,0,28189,122,18347,16282,5285,5042,61,729,182,122,0,0
2018-09-05,14,0,0,0,2607,372,0,0,745,1117,4469,3352,10800,0,0,1117,745,0,0
2018-09-05,15,0,0,0,102,229,872,1100,279,1019,836,2910,6950,0,0,0,0,0,0
2018-09-05,16,0,0,0,0,216,1080,0,864,1296,2375,0,13604,0,2159,0,0,0,0
2018-09-05,17,0,0,17,67,0,0,806,17,151,1596,252,6787,134,0,0,17,0,0
2018-09-05,18,0,0,92,0,92,827,4408,184,827,3122,1561,14878,0,1102,0,92,0,0
2018-09-05,19,0,0,0,0,0,9286,4347,1185,68758,21536,395,6520,0,4742,0,593,0,790
2018-09-05,20,0,0,0,1677,0,419,0,587,1844,21460,0,9137,0,0,84,587,0,0
2018-09-05,21,0,0,0,4633,323,0,3124,108,4525,25642,0,6788,0,754,108,215,0,0
2018-09-05,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-09-05,23,0,0,0,6043,0,984,1546,281,2249,5762,0,24734,703,1686,141,0,0,0
2018-09-05,24,0,0,224,2243,0,2916,224,2019,10094,12113,0,6057,0,1570,0,897,0,2692
2018-09-05,25,0,0,0,0,0,0,1042,313,208,27717,0,1459,0,0,0,104,0,14692
2018-09-05,26,0,0,117,2332,0,0,2681,816,1049,5013,0,7578,0,1516,0,233,0,466
2018-09-05,27,0,0,0,0,0,2799,1487,787,33504,5161,1312,6561,350,1924,0,612,0,0
2018-09-05,28,0,0,0,643,0,0,175,25,1971,6504,835,493,0,1102,8,0,0,1996
2018-09-05,29,0,0,0,0,0,0,0,684,2395,23953,14030,15398,855,5304,0,0,0,1540
2018-09-05,30,0,0,224,1793,0,0,224,672,3362,28915,2690,4707,0,2690,0,672,0,897
2018-09-05,31,0,0,0,0,0,0,0,433,3467,13435,3901,6501,2167,0,0,1300,0,1734
2018-09-05,32,0,0,0,2307,0,0,729,850,3521,21978,0,1578,243,2671,0,0,0,0
2018-09-05,33,0,0,0,1466,1466,0,0,978,978,6843,1466,5866,5866,1466,0,0,0,0
2018-09-05,34,0,0,0,1408,0,0,0,0,3521,5633,3521,15491,0,7746,0,0,0,1408
2018-09-05,35,837,0,0,9205,0,0,0,1674,1674,61925,0,30125,0,19247,0,0,0,0
2018-09-05,36,0,0,0,419,0,419,233,186,186,14384,326,12987,93,1350,0,0,0,47
2018-09-05,37,0,0,0,0,0,0,1881,125,1505,32975,878,1003,0,1128,0,251,0,0
2018-09-05,38,0,0,197,197,0,1575,394,394,1969,22050,0,4331,1181,984,0,394,0,591
2018-09-05,39,0,0,0,574,0,574,191,574,1914,24975,287,2679,478,1722,0,287,0,0
2018-09-05,40,0,0,0,0,0,0,12994,1181,18900,0,0,0,0,0,1181,0,0,0
2018-09-05,41,0,0,0,0,0,812,325,162,1787,11533,3411,1137,325,650,0,325,0,162
2018-09-05,42,0,0,0,11208,0,0,82,82,110,5494,1181,8598,137,0,0,55,0,0
2018-09-05,43,0,0,0,1226,0,0,0,669,111,0,669,1226,0,0,0,0,0,0
2018-09-05,44,0,0,0,0,97,486,0,0,49,632,0,680,0,194,49,0,0,0
2018-09-05,45,0,0,0,204,112,605,0,0,267,783,0,1236,1101,520,0,0,0,0
2018-09-05,46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-09-05,47,0,0,0,184,61,307,0,0,184,737,0,8292,1228,491,0,0,0,0
2018-09-05,48,0,0,0,5886,0,1338,1070,669,535,3746,936,12040,268,5083,0,0,0,0
2018-07-11,1,0,0,0,0,64,0,0,255,319,0,0,2234,128,1149,0,0,0,0
2018-07-11,2,0,0,94,0,0,0,0,187,94,0,0,562,0,937,0,0,0,0
