Timestamp,Specific Conductance (uS/cm),TDS (g/L),Dissolved Oxygen (mg/L),ORP_1 (mV),pH,Temperature (C),Tank
7/11/18 4:47,-99999,-99999,10.45,289.1,7.75,13.2,Air
7/11/18 4:47,140.7,0.0917,8.17,182.1,8.49,20.4,T1
7/11/18 4:48,145.1,0.0942,8.56,180.2,8.74,21,T2
7/11/18 4:48,158.9,0.1033,7.93,180.6,8.49,22,T4
7/11/18 4:49,134.9,0.0878,8.49,181.1,8.31,19.6,T3
7/11/18 4:50,136.8,0.089,8.88,180.8,8.53,19.5,T8
7/11/18 4:50,144,0.0936,8.68,180.5,8.61,21.3,T5
7/11/18 4:50,145.9,0.0949,8.54,180.9,8.61,21.7,T6
7/11/18 4:51,146.5,0.0955,8.69,181,8.61,20.4,T7
7/11/18 4:51,138.4,0.0897,8.59,181.2,8.49,20.3,T10
7/11/18 4:52,156.4,0.1014,7.87,180.7,8.63,22.7,T11
7/11/18 4:52,133.6,0.0871,9.24,181.2,8.43,19.2,T9
7/11/18 4:53,147.8,0.0962,8.24,181.1,8.53,21.4,T12
7/11/18 4:54,139.9,0.091,8.71,179.1,8.65,20.2,T29
7/11/18 4:55,146.1,0.0949,8.59,179.4,8.63,21.4,T30
7/11/18 4:55,132.1,0.0858,8.71,179.8,8.36,19.3,T31
7/11/18 4:56,150,0.0975,8.11,179.8,8.47,22.5,T32
7/11/18 4:56,142.8,0.093,8.53,178.7,8.58,21.5,T36
7/11/18 4:57,140.5,0.091,8.76,179.4,8.53,20.5,T34
7/11/18 4:58,133.5,0.0871,8.78,180,8.39,19.3,T33
7/11/18 4:58,156.6,0.1021,8.17,179.9,8.57,22.5,T35
7/11/18 4:58,148.7,0.0969,8.27,179.2,8.62,22.4,T38
7/11/18 4:59,134.9,0.0878,8.62,180.6,8.35,19.2,T40
7/11/18 4:59,136.6,0.089,8.97,179.3,8.7,20.4,T39
7/11/18 5:00,139.9,0.091,8.41,180.3,8.5,21.5,T37
7/11/18 5:01,0.4,0,9.7,229.8,8.15,19.2,Air
7/11/18 5:01,146.8,0.0955,8.28,180.6,8.68,22.6,T48
7/11/18 5:02,135.6,0.0884,8.2,182.3,8.19,19.5,T47
7/11/18 5:03,148.8,0.0969,7.92,182.2,8.39,21.5,T46
7/11/18 5:03,142.4,0.0923,8.73,181.3,8.66,20.7,T45
7/11/18 5:04,131.6,0.0858,8.53,183.1,8.38,20.3,T42
7/11/18 5:05,126,0.0819,9.03,182.6,8.48,19.2,T41
7/11/18 5:05,140.3,0.091,8.77,181.6,8.85,21.5,T44
7/11/18 5:06,153.8,0.1001,7.9,183.7,8.45,22.7,T43
7/11/18 5:06,0.3,0,11.09,181.7,8.19,17.6,Air
7/11/18 5:07,159.5,0.104,8.52,184.5,8.69,22,T13
7/11/18 5:07,127.8,0.0832,8.84,185,8.39,18.9,T14
7/11/18 5:08,140,0.091,8.59,185.5,8.55,21.1,T15
7/11/18 5:08,137.6,0.0897,8.53,186.1,8.4,20.2,T16
7/11/18 5:09,134.1,0.0871,8.96,186.6,8.54,19.4,T17
7/11/18 5:09,142.6,0.093,8.52,187.4,8.42,20.2,T18
7/11/18 5:10,154.2,0.1001,8.61,186.7,8.76,22,T19
7/11/18 5:10,151.5,0.0988,8.54,187.4,8.6,21,T20
7/11/18 5:11,173.9,0.1131,8.55,188.1,8.63,21.4,T22
7/11/18 5:11,143.9,0.0936,8.34,188.7,8.41,20.6,T21
7/11/18 5:12,135.8,0.0884,8.95,189,8.45,19.2,T23
7/11/18 5:13,157.4,0.1021,8.17,188.7,8.65,22.5,T24
7/11/18 5:13,142.1,0.0923,9.13,186.3,9.1,21.3,T25
7/11/18 5:14,138.2,0.0897,8.85,188.9,8.55,19.3,T28
7/11/18 5:14,165.2,0.1073,8.28,189.3,8.69,22.4,T26
7/11/18 5:15,150.1,0.0975,8.6,189.8,8.6,20.7,T27
7/11/18 21:48,-99999,-99999,9.6,-600.8,7.25,19.6,Air
7/11/18 21:50,-99999,-99999,9.07,-99999,7.29,19.2,T42
7/11/18 21:52,-99999,-99999,9.6,153.7,7.06,20.5,T44
7/11/18 21:54,148.9,0.0969,8.37,140.4,8.47,26,T46
7/11/18 21:55,56.3,0.0364,8.56,168.9,7.81,24.4,T48
7/11/18 21:57,25,0.0163,9.18,147.1,8.6,25.7,T30
7/11/18 21:57,134.4,0.0871,8.68,146.5,8.6,26.1,T32
7/11/18 21:58,141.2,0.0917,9.55,146.3,8.67,25.1,T34
7/11/18 22:00,137.9,0.0897,9.24,146.3,8.69,25.9,T36
7/11/18 22:02,144.6,0.0942,9.44,144.8,8.84,26.8,T38
7/11/18 22:02,135.8,0.0884,9.21,146.3,8.48,24.3,T40
7/11/18 22:03,139.4,0.0903,8.82,148.5,8.32,24.6,T47
7/11/18 22:04,72.5,0.0468,9.6,147.3,8.77,25.2,T45
7/11/18 22:05,156.2,0.1014,8.63,148.8,8.57,26.9,T43
7/11/18 22:06,127.2,0.0825,9.41,149.5,8.56,23.7,T41
7/11/18 22:08,-99999,-99999,10.5,131.5,7.5,19.3,Air
