tank,Date/Time,Green Algae,Bluegreen,Diatoms,Cryptophyta,Yellow substances,Total conc.,Transmission,Depth,Temp. Sample
,date,µg/l,µg/l,µg/l,µg/l,r.u.,µg/l,%,m,°C
1,2018-08-10 11:13,14.66,1.27,0,0.61,1.41,16.54,84.63,0.22,23.46
2,2018-08-10 11:14,38.04,0.83,0,0.22,1.65,39.09,83.82,0.23,23.65
3,2018-08-10 11:16,20.71,0,0,1.36,1.19,22.07,86.12,0.21,23.79
4,2018-08-10 11:17,30.58,1.61,0,0.19,2.34,32.38,84.73,0.22,23.86
5,2018-08-10 11:18,37.17,0.47,0,0,1.73,37.64,81.82,0.23,23.98
6,2018-08-10 11:19,9.41,2.99,0,0.86,1.77,13.25,84.56,0.24,24.02
7,2018-08-10 11:20,14.78,0.38,0,0.16,1.43,15.31,86.01,0.22,24.18
8,2018-08-10 11:21,10.81,0.82,0,0,1.54,11.63,86.22,0.21,24.28
9,2018-08-10 11:23,5.34,0.98,0.86,0,1.34,7.17,87.2,0.23,24.35
10,2018-08-10 11:23,8.14,0.74,0,0.43,1.25,9.32,86.57,0.21,24.38
11,2018-08-10 11:25,14.56,0.02,0.96,0.59,2.24,16.12,85.8,0.21,24.48
12,2018-08-10 11:27,38.02,0.17,0,0.39,1.86,38.59,83.4,0.21,24.58
13,2018-08-10 11:28,26.61,1.23,0,0.35,2.03,28.2,85.45,0.22,24.7
14,2018-08-10 11:30,6.85,0.99,0.56,0,1.37,8.39,86.42,0.22,24.75
15,2018-08-10 11:31,28.07,0.44,0,0.46,1.89,28.97,83.98,0.23,24.82
16,2018-08-10 11:32,19.72,0.16,0,0.03,1.47,19.91,85.06,0.22,24.91
17,2018-08-10 11:33,18.03,0.11,0,0.11,1.25,18.25,86.23,0.21,24.87
18,2018-08-10 11:33,17.06,0.78,0,0.38,1.62,18.21,85.95,0.21,24.93
19,2018-08-10 11:35,48.27,1.52,0,0.13,1.49,49.92,81.61,0.22,25.03
20,2018-08-10 11:37,26.09,1.18,0,0,2.03,27.27,84.87,0.21,25.07
21,2018-08-10 11:38,30.95,0.21,0,0.57,1.56,31.72,84.09,0.22,25.11
22,2018-08-10 11:39,20.65,1.42,0,0.04,1.15,22.11,86.02,0.23,25.14
23,2018-08-10 11:40,20.83,1.43,0,0.11,2.95,22.37,84.52,0.23,25.28
24,2018-08-10 11:42,22.9,1.59,0,0.48,2.72,24.98,85.29,0.21,25.34
25,2018-08-10 11:43,11.19,1.7,0,0.29,3.06,13.18,85.97,0.21,25.3
26,2018-08-10 11:46,32.03,1.98,0,0.18,1.89,34.19,84.07,0.21,25.44
27,2018-08-10 11:47,10.19,1.17,2.49,0,2.05,13.85,87.04,0.22,25.4
28,2018-08-10 11:48,7.45,0.7,0,0.14,1.7,8.29,86.75,0.22,25.48
29,2018-08-10 11:50,27.27,1.9,0,0,2.44,29.17,84.62,0.23,25.46
30,2018-08-10 11:50,44.59,0.51,0,0,2.29,45.1,83.41,0.22,25.54
31,2018-08-10 11:51,21.48,0.18,0,0.42,1.44,22.08,85.8,0.22,25.5
32,2018-08-10 11:52,34.46,0.69,0,0.03,2.18,35.18,84.26,0.22,25.55
33,2018-08-10 11:53,16.26,0.25,1.3,0,1.2,17.81,86.98,0.22,25.59
34,2018-08-10 11:54,12.81,0.96,0,0,1.37,13.77,87.28,0.22,25.57
35,2018-08-10 11:55,33.96,2.38,0,0.18,2.16,36.53,82.67,0.21,25.61
36,2018-08-10 11:56,9.63,0.73,0,0.25,1.72,10.61,86.71,0.24,25.71
37,2018-08-10 11:57,24.9,1.23,0,0.59,2.02,26.73,85.93,0.23,25.72
38,2018-08-10 11:58,39.65,4.24,0,0,2.14,43.88,81.19,0.22,25.68
39,2018-08-10 11:59,35.57,1.2,0,0.81,2.03,37.58,83.74,0.23,25.81
40,2018-08-10 12:01,22.43,0.06,0,0.78,1.45,23.27,85.45,0.2,25.68
41,2018-08-10 12:01,8.89,0.41,1.84,0.16,1.2,11.29,87.69,0.22,25.76
42,2018-08-10 12:03,3.53,0.06,0,0.79,1.26,4.39,87.63,0.22,25.84
43,2018-08-10 12:03,3.22,0.82,0,0.47,1.95,4.51,86.46,0.22,25.8
44,2018-08-10 12:05,0,0.67,0,1.42,1.99,2.09,86.9,0.21,25.87
45,2018-08-10 12:06,11.33,0.69,0,0.59,1.66,12.6,86.78,0.22,25.86
46,2018-08-10 12:07,14.82,8.15,0,0.25,1.99,23.22,84.3,0.22,25.94
47,2018-08-10 12:08,8.59,1.21,0,0.66,1.34,10.46,87.34,0.21,25.93
48,2018-08-10 12:10,17.52,6.18,0,0.32,1.61,24.02,84.23,0.2,26.04
