tank,Date/Time,Green Algae,Bluegreen,Diatoms,Cryptophyta,Yellow substances,Total conc.,Transmission,Depth,Temp. Sample,Green Algae,Bluegreen,Diatoms,Cryptophyta,#4,#5,#6,Yellow substances,Total cell count,Trans. 700 nm,LED 3 [525 nm],LED 4 [570 nm],LED 5 [610 nm],LED 6 [370 nm],LED 7 [590 nm],LED 8 [470 nm],Pressure,Temp. LEDs,Temp. Sensor
,date,?g/l,?g/l,?g/l,?g/l,r.u.,?g/l,%,m,?C,cells/ml,cells/ml,cells/ml,cells/ml,cells/ml,cells/ml,cells/ml,r.u.,cells/ml,digits,digits,digits,digits,digits,digits,digits,bar,?C,?C
1,2018-08-21 17:25,26.3,3.35,0,0,1.88,29.65,82.6,0.26,23.07,13941,3348,0,0,0,0,0,0,17289,505.31,21.18,9.28,25.38,60.79,34.41,93.05,1.03,23.85,23.25
2,2018-08-21 17:25,53.49,0.43,0,0,1.58,53.92,80.04,0.26,23.28,28348,430,0,0,0,0,0,0,28778,489.64,29.2,12.1,30.62,91.88,41.5,165.31,1.03,24.31,23.5
3,2018-08-21 17:25,15.28,2.11,0,0.68,0.96,18.06,85.15,0.27,23.42,8099,2105,0,20,0,0,0,0,10225,520.92,15.41,8.25,17.15,35.51,23.92,56.1,1.03,24.56,23.78
4,2018-08-21 17:25,47.36,0.56,0,0.1,1.67,48.02,81.2,0.26,23.53,25098,560,0,3,0,0,0,0,25662,496.74,27.63,11.67,28.89,84.88,37.51,149.47,1.03,24.79,23.89
5,2018-08-21 17:25,51.9,0,0,0.33,1.51,52.23,78.63,0.25,23.63,27507,0,0,10,0,0,0,0,27518,481.03,31.75,11.73,28.36,88.34,38.31,162.28,1.02,24.98,24.17
6,2018-08-21 17:25,10.4,0,0,1.21,1.58,11.6,84.98,0.25,23.82,5511,0,0,36,0,0,0,0,5547,519.86,15.36,4.68,9.96,35.67,15.31,50.24,1.02,25.09,24.45
7,2018-08-21 17:25,42.03,0.51,0,0.13,1.33,42.67,82.06,0.23,23.94,22275,505,0,4,0,0,0,0,22784,502.04,24.73,9.34,25.82,73.56,33.56,131.44,1.02,25.27,24.53
8,2018-08-21 17:25,23.04,0,5.06,0,0.53,28.1,84.72,0.22,23.96,12213,0,2277,0,0,0,0,0,14490,518.3,23.49,4.95,13.09,44.62,18.62,90.96,1.02,25.31,24.78
9,2018-08-21 17:25,7.81,0,1.32,0.59,1.05,9.72,86.89,0.23,24.16,4137,0,593,18,0,0,0,0,4748,531.55,12.96,3.55,7.6,26.82,11.51,39.97,1.02,25.34,24.91
