tank,Date/Time,Green Algae,Bluegreen,Diatoms,Cryptophyta,Yellow substances,Total conc.,Transmission,Depth,Temp. Sample
,date,µg/l,µg/l,µg/l,µg/l,r.u.,µg/l,%,m,°C
1,2018-08-03 14:27,22.27,1.31,0,0.07,1.41,23.64,84.6,0.3,23.68
2,2018-08-03 14:27,28.83,1.54,0,0.06,1.88,30.43,83.54,0.3,23.92
3,2018-08-03 14:27,11.86,1,0.34,0.24,1.34,13.44,85.65,0.32,24
4,2018-08-03 14:27,22.72,1.51,0,0.36,1.77,24.59,84.1,0.3,24.07
5,2018-08-03 14:27,9.75,0.82,0,0.76,1.66,11.33,84.23,0.3,24.1
6,2018-08-03 14:27,9.46,1.87,0.33,0,1.28,11.67,84.32,0.3,24.25
7,2018-08-03 14:27,14.85,0.3,0,0.5,1.53,15.65,85.12,0.3,24.2
8,2018-08-03 14:27,22.16,0.35,0,0.53,1.21,23.04,85.62,0.3,24.32
9,2018-08-03 14:27,16.5,0,0,0.96,1.27,17.46,85.41,0.29,24.33
10,2018-08-03 14:27,12.68,0.64,0,0.67,1.3,13.99,85.68,0.29,24.41
11,2018-08-03 14:27,13.65,0.4,0,0.9,1.64,14.96,85.06,0.29,24.43
12,2018-08-03 14:27,16.81,0,0,0.59,1.5,17.4,85.37,0.3,24.61
13,2018-08-03 14:27,24.84,1.18,0,0.06,1.21,26.07,84.6,0.31,24.66
14,2018-08-03 14:27,13.38,0,0,1.09,1.21,14.48,85.94,0.3,24.64
15,2018-08-03 14:27,22.63,0.84,0,0.4,1.77,23.87,84.33,0.3,24.55
16,2018-08-03 14:27,14.95,0.28,0,0.65,1.4,15.88,85.82,0.3,24.76
17,2018-08-03 14:27,16.29,0.21,0,0.56,1.11,17.05,86.3,0.31,24.69
18,2018-08-03 14:27,17.04,0.11,0,0.48,1.24,17.63,86,0.3,24.8
19,2018-08-03 14:27,36.46,0.42,0,0,1.45,36.88,82.53,0.29,24.8
20,2018-08-03 14:27,15.77,1.32,0,0.31,2.11,17.4,85.04,0.31,24.81
21,2018-08-03 14:27,20.15,1.14,0,0.16,1.51,21.46,85.67,0.31,24.8
22,2018-08-03 14:27,29.82,1.22,0,0.14,1.68,31.18,83.71,0.29,24.83
23,2018-08-03 14:27,17.03,1.4,0,0.11,1.53,18.54,86.15,0.29,24.95
24,2018-08-03 14:27,26.32,1.02,0,0,2.29,27.35,83.99,0.31,24.91
25,2018-08-03 14:27,19.85,0.02,0,1.62,1.66,21.49,85.54,0.3,24.98
26,2018-08-03 14:27,10.15,1.23,0,0.32,2.02,11.7,85.65,0.3,25.04
27,2018-08-03 14:27,22.99,1.52,0,0.04,1.77,24.55,85,0.3,25.1
28,2018-08-03 14:27,12.95,1.43,0,0.25,1.48,14.63,85.33,0.3,25.09
29,2018-08-03 14:27,17.6,1.03,0,0.56,1.66,19.19,85.12,0,25.06
30,2018-08-03 14:27,23.87,1.02,0,0,1.58,24.89,85.26,0.29,25.17
31,2018-08-03 14:27,17.67,0.12,2.07,0,1.17,19.86,86.25,0.31,25.22
32,2018-08-03 14:27,23.22,0.9,0,0.18,1.54,24.31,85.51,0.3,25.17
33,2018-08-03 14:27,21.31,0,1.13,0.53,1.17,22.96,85.66,0.3,25.12
34,2018-08-03 14:27,13.96,0.61,0,0.13,1.23,14.69,87.06,0.31,25.24
35,2018-08-03 14:27,7.11,0.7,0,0.43,1.61,8.24,86.37,0.29,25.29
36,2018-08-03 14:27,12.16,0.49,0,0.54,1.68,13.18,85.98,0.3,25.26
37,2018-08-03 14:27,15.96,0.97,0,0.7,1.77,17.63,86.05,0.29,25.3
38,2018-08-03 14:27,16.11,1.86,0.14,0.06,1.6,18.17,84.17,0.3,25.3
39,2018-08-03 14:27,20.66,1.07,0,0.29,1.68,22.02,85.62,0.31,25.31
40,2018-08-03 14:27,15.72,0.56,0,0.5,1.42,16.78,86.67,0.3,25.39
41,2018-08-03 14:27,14.69,0.01,0.56,0.63,1.14,15.88,86.96,0.3,25.38
42,2018-08-03 14:27,8.88,0.1,0,1.15,1.3,10.12,86.69,0.3,25.55
43,2018-08-03 14:27,11.49,0.36,0,0.88,1.28,12.73,86.38,0.3,25.45
44,2018-08-03 14:27,6.72,1.38,1.63,0.38,1.8,10.11,85.12,0.3,25.53
45,2018-08-03 14:27,3.95,0.35,0,0.86,1.18,5.16,87,0.3,25.57
46,2018-08-03 14:27,12.16,2.6,0,0.86,1.42,15.61,86.06,0.3,25.5
47,2018-08-03 14:27,7.95,0.89,0.92,0,1.39,9.76,86.73,0.29,25.58
48,2018-08-03 14:27,15.18,0,0,0.96,1.6,16.13,86.06,0.29,25.65
