tank,Date/Time,Green Algae,Bluegreen,Diatoms,Cryptophyta,Yellow substances,Total conc.,Transmission,Depth,Temp. Sample,Green Algae,Bluegreen,Diatoms,Cryptophyta,#4,#5,#6,Yellow substances,Total cell count,Trans. 700 nm,LED 3 [525 nm],LED 4 [570 nm],LED 5 [610 nm],LED 6 [370 nm],LED 7 [590 nm],LED 8 [470 nm],Pressure,Temp. LEDs,Temp. Sensor
,date,?g/l,?g/l,?g/l,?g/l,r.u.,?g/l,%,m,?C,cells/ml,cells/ml,cells/ml,cells/ml,cells/ml,cells/ml,cells/ml,r.u.,cells/ml,digits,digits,digits,digits,digits,digits,digits,bar,?C,?C
1,2018-08-30 12:09,26.65,4.09,0,0.74,1.69,31.48,81.56,0.27,22.6,14127,4091,0,22,0,0,0,0,18240,498.96,24.87,11.43,30.41,60.94,40,95.75,1.03,22.31,22.8
2,2018-08-30 12:09,59.3,1.05,0,0.82,1.87,61.17,77.38,0.28,22.64,31429,1050,0,25,0,0,0,0,32504,473.39,36.83,13.92,38.24,105.22,51.79,188.35,1.03,23.29,22.79
3,2018-08-30 12:09,21.1,2.4,0,0.41,1.26,23.91,83.57,0.26,22.73,11183,2396,0,12,0,0,0,0,13591,511.26,18.75,6.7,21.51,46.37,27.55,74.15,1.03,23.75,23.02
4,2018-08-30 12:09,51.6,2.05,0,0.87,1.75,54.52,79.2,0.25,22.83,27346,2055,0,26,0,0,0,0,29426,484.5,35,12.13,38.29,94.1,49.7,166.21,1.02,24.1,23.35
5,2018-08-30 12:09,50.21,0.16,0,0.38,1.46,50.75,78.31,0.23,22.91,26613,164,0,11,0,0,0,0,26788,479.07,29.64,9.39,30.02,86.4,39.13,156.7,1.02,24.27,23.33
6,2018-08-30 12:09,17.72,0.18,0,1.34,2.15,19.24,83.18,0.26,23.02,9393,175,0,40,0,0,0,0,9608,508.85,20.95,7.07,16.06,52.9,21.39,76.94,1.03,24.45,23.57
7,2018-08-30 12:09,44.43,1.8,0,0,2.05,46.23,79.41,0.25,23.05,23546,1804,0,0,0,0,0,0,25350,485.82,26.98,13.39,30.6,86.49,40.76,144.91,1.02,24.63,23.73
8,2018-08-30 12:09,6.25,0.67,0,0.23,1.47,7.16,84.97,0.27,23.1,3315,672,0,7,0,0,0,0,3994,519.83,9.78,3.57,7.23,27.28,10.52,33.22,1.03,24.65,23.79
9,2018-08-30 12:09,10.12,0,2.01,0.42,1.3,12.55,84.91,0.25,23.22,5364,0,903,13,0,0,0,0,6280,519.45,15.27,4.51,8.56,33.6,13.32,50.63,1.02,24.81,24.24
10,2018-08-30 12:09,21.78,0.22,0,0.37,1.66,22.37,86.04,0.25,23.22,11545,219,0,11,0,0,0,0,11775,526.4,17.32,6.01,14.82,50.52,20.07,79.05,1.02,24.93,24.25
11,2018-08-30 12:09,52.31,1.59,0,0.22,2.58,54.11,81.07,0.25,23.33,27722,1590,0,7,0,0,0,0,29319,495.96,33.72,13.13,35.25,103.5,46.65,173.06,1.02,24.84,24.46
12,2018-08-30 12:09,40.72,2.99,0,0,2.28,43.7,79.15,0.27,23.37,21580,2987,0,0,0,0,0,0,24567,484.23,27.71,11.25,32.38,84.86,43.29,137.13,1.03,24.93,24.7
13,2018-08-30 12:09,46.47,2.93,0,0,2.42,49.4,79.74,0.24,23.39,24630,2930,0,0,0,0,0,0,27560,487.81,28.3,14,36.29,94.73,46.67,154.51,1.02,25.09,24.67
14,2018-08-30 12:09,16.82,1.23,0.56,0.54,1.25,19.16,84.38,0.27,23.48,8917,1226,253,16,0,0,0,0,10412,516.2,17.27,5.4,16.37,40.79,21.18,64.39,1.03,25.1,24.88
15,2018-08-30 12:09,58.06,2.87,0,0,2.44,60.93,77.93,0.26,23.59,30772,2868,0,0,0,0,0,0,33640,476.75,36.04,13.17,41.57,110.01,54.78,187.18,1.03,25.21,25.01
16,2018-08-30 12:09,6.6,0.83,1.31,0.48,1.57,9.22,84.64,0.26,23.63,3500,825,591,14,0,0,0,0,4931,517.82,14.24,3.73,9.83,31.68,13.66,41.28,1.03,25.18,25.1
17,2018-08-30 12:09,17.19,0,0,0,0.86,17.19,84.5,0.26,23.71,9111,0,0,0,0,0,0,0,9111,516.96,11.41,4.59,9.19,33.7,13.86,56.9,1.03,25.35,25.39
18,2018-08-30 12:09,16.87,0.45,0,0.1,1.71,17.43,84.58,0.27,23.58,8941,452,0,3,0,0,0,0,9396,517.42,14.25,5.83,12.13,44.12,16.43,64.59,1.03,25.18,25.4
19,2018-08-30 12:09,34.14,6.32,0,1.26,1.94,41.71,78,0.24,23.72,18094,6317,0,38,0,0,0,0,24448,477.2,33.54,13.41,42.75,76.57,56.69,122.21,1.02,25.29,25.67
20,2018-08-30 12:09,20.6,1.28,13.53,0,2.48,35.4,81.47,0.29,23.72,10917,1276,6087,0,0,0,0,0,18280,498.4,45.86,9.76,27.52,80.87,34.35,132.44,1.03,25.42,25.62
21,2018-08-30 12:09,29.19,0.92,0,0.86,1.94,30.97,83.04,0.27,23.71,15473,917,0,26,0,0,0,0,16416,508,24.11,8.77,22.71,65.39,30.04,104.96,1.03,25.38,25.82
22,2018-08-30 12:09,20.08,0.42,0,1.01,2.28,21.5,83.63,0.27,23.94,10642,416,0,30,0,0,0,0,11088,511.61,21.27,7.36,17.48,57.04,22.28,83.26,1.03,25.36,25.95
23,2018-08-30 12:09,24.58,0.93,0,0,1.57,25.51,84.26,0.26,23.91,13026,933,0,0,0,0,0,0,13960,515.46,17.57,6.7,18.56,52.9,22.05,84.44,1.03,25.42,25.94
24,2018-08-30 12:09,20.95,1.29,0,0.29,2.54,22.52,82.65,0.23,23.95,11102,1289,0,9,0,0,0,0,12399,505.63,19.8,7.45,17.75,60.51,24.2,85.11,1.02,25.56,26.1
25,2018-08-30 12:09,37.69,2.23,0,0.97,2.29,40.89,81.49,0.26,23.94,19978,2227,0,29,0,0,0,0,22235,498.5,30.33,11.04,30.98,82.26,42.63,133.07,1.03,25.45,26.21
26,2018-08-30 12:09,48.35,2.01,0,1.67,2.79,52.03,77.81,0.24,24.04,25626,2014,0,50,0,0,0,0,27690,475.99,38.5,14.97,37.58,104.05,53.21,170.88,1.02,25.55,26.4
27,2018-08-30 12:09,32.98,1.72,0,0.73,1.93,35.43,79.99,0.23,23.97,17480,1716,0,22,0,0,0,0,19218,489.37,25.83,10.42,26.53,70.68,35.4,115.06,1.02,25.5,26.41
28,2018-08-30 12:09,16.52,0.77,0,0.23,1.73,17.52,84.69,0.24,24,8756,766,0,7,0,0,0,0,9529,518.1,15.08,5.2,13.05,44.31,18.31,64.5,1.02,25.56,26.52
29,2018-08-30 12:09,46.02,0,0,0.93,1.49,46.95,82.27,0.24,24.01,24392,0,0,28,0,0,0,0,24420,503.28,30.34,11.14,28.24,81.91,37.51,147.93,1.02,25.61,26.55
30,2018-08-30 12:09,43.31,1.17,0,0.3,2.34,44.78,82.24,0.27,24.12,22953,1173,0,9,0,0,0,0,24135,503.1,28.91,12.06,29.27,88.3,38.88,145.74,1.03,25.64,26.65
31,2018-08-30 12:09,21.44,0.9,0,0.56,2.12,22.9,83.53,0.24,24.16,11363,903,0,17,0,0,0,0,12282,511.04,19.32,7.87,16.64,56.53,24.5,83.6,1.02,25.59,26.84
32,2018-08-30 12:09,44.65,1.34,0,0.65,2.69,46.65,81.79,0.24,24.15,23667,1341,0,20,0,0,0,0,25027,500.37,31.92,13.27,31.53,95.23,42.47,154.6,1.02,25.65,26.89
33,2018-08-30 12:09,9.82,0.43,0,0.78,1.46,11.02,86.17,0.25,24.16,5204,426,0,23,0,0,0,0,5653,527.15,13.6,5.01,10.63,32.97,13.77,45.61,1.02,26.02,26.91
34,2018-08-30 12:09,23.42,0,3.89,0,1.07,27.32,84.2,0.25,24.08,12414,0,1752,0,0,0,0,0,14166,515.12,22.74,6.23,15.66,50.75,21.08,91.01,1.02,25.66,27
35,2018-08-30 12:09,19.85,7.23,0,0.69,2.66,27.76,80.26,0.26,24.2,10519,7229,0,21,0,0,0,0,17769,491.03,26.62,13.98,35.31,65.63,49.52,86.78,1.03,25.69,27.18
36,2018-08-30 12:09,34.65,1.07,0,0,2.86,35.72,82.56,0.26,24.22,18365,1067,0,0,0,0,0,0,19433,505.05,23.75,8.95,23.84,82.37,32.14,125.16,1.03,25.82,27.24
37,2018-08-30 12:09,30.17,1.56,0,0.22,2.39,31.95,82.11,0.27,24.27,15991,1556,0,7,0,0,0,0,17553,502.34,23.58,10.05,23.86,71.27,30.47,109.25,1.03,25.75,27.26
