tank,Date/Time,Green Algae,Bluegreen,Diatoms,Cryptophyta,Yellow substances,Total conc.,Transmission,Depth,Temp. Sample
,date,µg/l,µg/l,µg/l,µg/l,r.u.,µg/l,%,m,°C
1,2018-08-07 15:41,11.28,0.96,0,0.55,1.33,12.78,86.72,0.24,24.6
2,2018-08-07 15:42,27.8,0.69,0,0.32,1.76,28.8,85.62,0.24,24.8
3,2018-08-07 15:43,9.45,0,2.38,0.54,0.94,12.37,87.75,0.25,24.8
4,2018-08-07 15:44,19.85,1.15,0,0.13,1.85,21.13,87.05,0,24.91
5,2018-08-07 15:45,17.5,0.34,0,0.01,1.74,17.85,85.29,0.25,24.88
6,2018-08-07 15:46,8.02,3.9,0,0.52,1.37,12.43,85.86,0.25,25
7,2018-08-07 15:47,12.47,0.13,0,0.27,1.15,12.87,87.11,0.23,25.07
8,2018-08-07 15:48,14.71,0.28,0,0.35,1.3,15.34,87.74,0.23,25.09
9,2018-08-07 15:49,7.89,0.36,2.74,0,1.28,10.99,87.55,0.24,25.19
10,2018-08-07 15:49,9.98,0.36,0,0.5,1.33,10.84,87.32,0.24,25.17
11,2018-08-07 15:50,9.91,0.16,0,0.52,1.81,10.6,87.12,0.25,25.22
12,2018-08-07 15:51,18.6,0.59,0,0.02,1.53,19.2,86.45,0.25,25.18
13,2018-08-07 15:52,20.64,1.26,0,0.25,1.61,22.15,86.83,0.25,25.2
14,2018-08-07 15:52,5.93,0.31,0,0.53,1.2,6.78,88.44,0,25.34
15,2018-08-07 15:53,22.49,0.9,0,0,1.77,23.39,85.49,0.23,25.27
16,2018-08-07 15:54,12.82,0.3,0,0.35,1.42,13.47,87.23,0.23,25.27
17,2018-08-07 15:54,20.48,0,0,0.28,1.01,20.76,87.48,0.25,25.38
18,2018-08-07 15:55,20.44,0.59,0,0.07,1.46,21.09,87.53,0.23,25.31
19,2018-08-07 15:56,35.21,0.56,0,0.09,1.48,35.86,84.9,0.23,25.39
20,2018-08-07 15:57,16.49,2.08,0,0.22,2.27,18.79,86.1,0.23,25.47
21,2018-08-07 15:58,23.67,0.59,0,0.16,1.67,24.43,86.86,0.24,25.43
22,2018-08-07 15:59,23.86,0,0,0.54,1.7,24.4,86.33,0.24,25.45
23,2018-08-07 16:00,15.95,0.43,0,0.45,1.23,16.84,87.9,0.24,25.49
24,2018-08-07 16:01,30.62,0.31,0,0.26,1.99,31.19,84.98,0,25.56
25,2018-08-07 16:02,32.72,0.95,0,0.71,1.62,34.38,86.71,0.24,25.56
26,2018-08-07 16:03,11.89,0.48,0,0.83,2.04,13.21,87.42,0.25,25.53
27,2018-08-07 16:03,34.43,1.2,0,0.46,1.32,36.09,86.27,0.24,25.59
28,2018-08-07 16:05,17.6,0.06,0,1.66,1.57,19.32,86.64,0.24,25.6
29,2018-08-07 16:05,25.98,1.18,0,0.33,1.91,27.5,86.6,0.25,25.65
30,2018-08-07 16:06,32.53,0.45,0,0,1.79,32.98,86.81,0.23,25.62
31,2018-08-07 16:07,23.13,0.45,1.48,0,1.26,25.07,87,0.25,25.58
32,2018-08-07 16:08,36.28,0.29,0,0.36,1.48,36.94,86.63,0.25,25.68
33,2018-08-07 16:09,29.76,0,0,0.86,1.27,30.63,87.04,0.24,25.73
34,2018-08-07 16:10,11.44,0.67,0,0.14,1.09,12.26,88.22,0.23,25.73
35,2018-08-07 16:11,20.16,0.5,0,1.19,1.4,21.85,86.36,0.22,25.79
36,2018-08-07 16:12,11.07,1.11,0,0.15,1.72,12.33,87.55,0.23,25.69
37,2018-08-07 16:13,16.41,1.04,0,0.7,1.73,18.15,87.62,0.24,25.75
38,2018-08-07 16:13,31.27,3.15,0,0.29,1.71,34.71,84.27,0.23,25.7
39,2018-08-07 16:14,36.83,0.16,0,0.98,1.67,37.97,85.18,0.25,25.76
40,2018-08-07 16:15,19.45,0.17,0,0.32,1.53,19.94,87.5,0.23,25.75
41,2018-08-07 16:16,10.74,0.45,0,0.63,1.22,11.82,88.79,0.24,25.86
42,2018-08-07 16:17,8.52,0.56,3.35,0,1.18,12.43,88.59,0.23,25.8
43,2018-08-07 16:17,2.14,0.44,0,0.86,1.79,3.43,87.73,0.23,25.71
44,2018-08-07 16:18,3.6,0.36,0,1.23,1.83,5.19,87.44,0.23,25.81
45,2018-08-07 16:19,5.29,0.78,0.99,0.1,1.27,7.16,88.16,0.24,25.83
46,2018-08-07 16:20,11.3,6.54,0,0.35,1.76,18.18,86.58,0.23,25.81
47,2018-08-07 16:20,8.61,0.62,0,0.57,1.11,9.79,88.71,0.25,25.82
48,2018-08-07 16:21,13.21,0.22,0,0.68,1.78,14.11,88.12,0.23,25.82
