tank,Date/Time,Green Algae,Bluegreen,Diatoms,Cryptophyta,Yellow substances,Total conc.,Transmission,Depth,Temp. Sample
,date,µg/l,µg/l,µg/l,µg/l,r.u.,µg/l,%,m,°C
1,2018-07-12 13:37,18.9,0.63,0,0.68,1.56,20.21,80.23,0.3,23.37
2,2018-07-12 13:37,13.12,0,3,0.37,1.36,16.49,82.19,0.3,23.47
3,2018-07-12 13:37,10.96,0.29,0,0.27,1.35,11.52,82.97,0.3,23.54
4,2018-07-12 13:37,11.74,1.2,0,0.68,1.41,13.61,81.9,0,23.66
5,2018-07-12 13:37,10.42,0.39,0,0.82,1.39,11.63,82.75,0.29,23.83
6,2018-07-12 13:37,5.45,0.48,0,0.77,1.63,6.7,82.58,0.3,23.89
7,2018-07-12 13:37,10.03,0.25,1.78,0.14,1.17,12.2,82.74,0.3,23.93
8,2018-07-12 13:37,6.83,0.55,0,0.2,1.12,7.58,83.26,0.3,24.11
9,2018-07-12 13:37,5.91,0.17,1.6,0.11,1,7.78,82.92,0.29,24.16
10,2018-07-12 13:37,7.53,0,1.22,0.16,1.02,8.91,83.28,0.31,24.22
11,2018-07-12 13:37,9.64,0,8.79,0.66,1.77,19.09,82.3,0.3,24.32
12,2018-07-12 13:37,11.75,0.32,0,0.65,1.32,12.72,82.86,0.28,27.06
13,2018-07-12 13:37,11.33,0.36,0,0.87,1.32,12.56,83.98,0.27,27.12
14,2018-07-12 13:37,4.23,0.43,0.94,0,0.98,5.6,84.97,0.29,27.11
15,2018-07-12 13:37,10.74,0.28,0,0.64,1.29,11.66,84.37,0.27,27.13
16,2018-07-12 13:37,6.4,0,0.43,0.62,1.32,7.45,83.53,0.3,27.07
17,2018-07-12 13:37,5.63,0,0.39,0.69,1.23,6.7,84.68,0.27,26.98
18,2018-07-12 13:37,7.97,0,1.97,0.58,1.42,10.52,84.18,0.26,27
19,2018-07-12 13:37,15.79,0,0.5,1.51,1.56,17.79,83.68,0.27,27
20,2018-07-12 13:37,11.99,0,1.03,0.83,1.37,13.84,84.12,0.28,26.98
21,2018-07-12 13:37,10.02,0,4.17,0.12,1.19,14.31,84.21,0.27,27.03
22,2018-07-12 13:37,10.95,0,0.82,0.76,1.29,12.53,84.36,0.28,27.02
23,2018-07-12 13:37,9.18,0.48,0,0.05,1.28,9.7,84.99,0,26.93
24,2018-07-12 13:37,12.67,0.25,0,0.94,1.45,13.86,83.95,0.29,26.93
25,2018-07-12 13:37,9.84,0,0,1.02,1.23,10.85,84.98,0.28,26.84
26,2018-07-12 13:37,20.86,0,3.46,1.11,1.89,25.42,83.21,0.27,26.9
27,2018-07-12 13:37,14.11,0,3.62,0.59,1.55,18.33,83.8,0.27,26.8
28,2018-07-12 13:37,10.15,0.15,0,1.16,1.31,11.46,84.46,0.27,26.81
29,2018-07-12 13:37,9.11,1.11,0.52,0,1.1,10.73,84.24,0.27,26.86
34,2018-07-12 13:37,8.6,0.61,1.84,0,1.06,11.06,84.79,0.27,26.69
33,2018-07-12 13:37,5.97,0,7.05,0.11,1.51,13.13,84.11,0.27,26.79
32,2018-07-12 13:37,9.37,0.76,1.03,0.04,1.29,11.2,85.19,0.27,26.77
31,2018-07-12 13:37,2.61,0.42,5.86,0,1.51,8.89,84.65,0.26,26.71
30,2018-07-12 13:37,5.3,0.21,2.28,0.57,1.42,8.36,85.04,0.26,26.74
35,2018-07-12 13:37,10.89,0,4.57,0.81,1.55,16.28,84.35,0.28,26.73
36,2018-07-12 13:37,12.66,0,1.05,0.62,1.45,14.33,84.16,0.27,26.68
37,2018-07-12 13:37,4.39,0.05,0,0.78,1.16,5.22,85.37,0.28,26.7
38,2018-07-12 13:37,14.91,0,4.13,1.43,1.47,20.47,83.62,0.28,26.71
39,2018-07-12 13:37,7.61,0.69,1.93,0,1.34,10.23,84.82,0.26,26.68
40,2018-07-12 13:37,8.45,0.22,3.38,0.26,1.63,12.32,84.23,0.27,26.72
41,2018-07-12 13:37,7.43,0.53,1.38,0.24,1.13,9.59,85.34,0.28,26.66
42,2018-07-12 13:37,2.93,0.51,3.55,0.06,1.51,7.05,84.69,0.28,26.66
43,2018-07-12 13:37,3.23,0.59,0,0.56,1.27,4.38,84.9,0.28,26.67
44,2018-07-12 13:37,24.58,0,11.82,0,0.47,36.41,84.1,0.25,26.63
45,2018-07-12 13:37,7.91,0,9.28,0,1.29,17.19,85.7,0.27,26.63
46,2018-07-12 13:37,6.2,0.95,0,0.52,1.2,7.67,84.71,0.27,26.69
47,2018-07-12 13:37,7.51,0,3.48,0,0.97,10.99,85.37,0.26,26.73
48,2018-07-12 13:37,13.24,0.67,0,0.47,1.47,14.37,85.03,0.28,26.72
