tank,Date/Time,Green Algae,Bluegreen,Diatoms,Cryptophyta,Yellow substances,Total conc.,Transmission,Depth,Temp. Sample,Green Algae,Bluegreen,Diatoms,Cryptophyta,#4,#5,#6,Yellow substances,Total cell count,Trans. 700 nm,LED 3 [525 nm],LED 4 [570 nm],LED 5 [610 nm],LED 6 [370 nm],LED 7 [590 nm],LED 8 [470 nm],Pressure,Temp. LEDs,Temp. Sensor
,date,?g/l,?g/l,?g/l,?g/l,r.u.,?g/l,%,m,?C,cells/ml,cells/ml,cells/ml,cells/ml,cells/ml,cells/ml,cells/ml,r.u.,cells/ml,digits,digits,digits,digits,digits,digits,digits,bar,?C,?C
1,2018-07-16 22:18,18.25,0,0,1.07,1.37,19.33,84.1,0.25,22.91,9674,0,0,32,0,0,0,0,9706,514.51,18.54,6.13,13.76,43.25,18.96,69.79,1.02,24.07,23.12
2,2018-07-16 22:18,17.88,0,2.73,0,1.02,20.6,84.49,0.26,22.91,9475,0,1226,0,0,0,0,0,10701,516.9,17.77,5.23,12.15,41,16.66,70.45,1.03,24.15,23.3
3,2018-07-16 22:18,11.65,0,3.18,0.17,1.08,15,84.71,0.23,23.01,6177,0,1430,5,0,0,0,0,7611,518.24,16.72,3.72,9.68,34.45,14.18,55.92,1.02,24.43,23.51
4,2018-07-16 22:18,11.12,1.37,0,0.67,1.33,13.16,83.95,0.22,23.2,5895,1369,0,20,0,0,0,0,7284,513.56,14.33,5.72,13.76,33.56,17.82,47.74,1.02,24.53,23.56
5,2018-07-16 22:18,14.92,0,0,0.79,1.46,15.71,84.56,0.25,23.24,7906,0,0,24,0,0,0,0,7930,517.31,15.6,4.86,11.62,39.45,15.92,59.83,1.02,24.65,23.7
6,2018-07-16 22:18,9.63,0.49,0,0.52,1.19,10.65,84.13,0.23,23.19,5106,494,0,16,0,0,0,0,5616,514.66,11.68,4.24,9.37,28.99,13,41.3,1.02,24.76,23.85
7,2018-07-16 22:18,8.83,0.17,0,0.76,1.3,9.76,84.39,0.23,23.34,4679,166,0,23,0,0,0,0,4869,516.3,12.18,4.77,8.68,29.48,12.29,41.1,1.02,24.82,23.94
8,2018-07-16 22:18,15.17,0,0,0.9,1.34,16.07,83.7,0.24,23.29,8040,0,0,27,0,0,0,0,8067,512.03,16,5.98,12.16,38.53,15.94,59.92,1.02,25.11,23.98
9,2018-07-16 22:18,7.94,0,0,0.85,1,8.78,84.97,0.24,23.38,4207,0,0,25,0,0,0,0,4233,519.81,11.93,3.64,6.53,24.41,11.23,36.34,1.02,25.04,24.07
10,2018-07-16 22:18,4.28,0.16,1.61,0,1.12,6.05,85.89,0.23,23.5,2269,161,723,0,0,0,0,0,3154,525.45,9.92,1.96,5.56,22.16,6.89,29.06,1.02,25.11,24.34
11,2018-07-16 22:18,4.99,0.53,0,0.65,1.24,6.17,84.85,0.23,23.49,2645,525,0,20,0,0,0,0,3190,519.1,10.29,3.44,7.13,23.63,10.82,29.44,1.02,25.09,24.46
12,2018-07-16 22:18,17.35,0.11,0,0.71,1.37,18.16,84.33,0.23,23.68,9194,107,0,21,0,0,0,0,9322,515.93,15.9,5.83,13.02,41.66,17.64,65.34,1.02,25.18,24.48
13,2018-07-16 22:18,21.67,0.98,0,0.08,1.25,22.73,84.6,0.23,23.64,11484,984,0,2,0,0,0,0,12470,517.57,15.93,5.36,16.1,45.28,21.33,73.61,1.02,25.18,24.61
14,2018-07-16 22:18,7.35,0,0,0.81,1.26,8.16,85.6,0.23,23.62,3895,0,0,24,0,0,0,0,3919,523.71,11.89,3.74,6.46,26.8,11.07,36.97,1.02,25.14,24.84
15,2018-07-16 22:18,13.57,0,0.98,1.04,1.61,15.59,84.48,0.23,23.72,7191,0,442,31,0,0,0,0,7664,516.83,18.27,5.58,12.6,41.6,17.12,62.27,1.02,25.31,24.82
16,2018-07-16 22:18,6.88,0,1.42,0.72,1.41,9.02,84.37,0.24,23.73,3648,0,638,21,0,0,0,0,4307,516.17,14.21,4.56,8.1,30.33,11.41,41.8,1.02,25.36,24.98
17,2018-07-16 22:18,12.52,0,4.79,0,0.92,17.31,84.31,0,23.76,6635,0,2154,0,0,0,0,0,8789,515.77,19.14,4.4,9.56,35.68,14.59,62.57,1.02,25.43,25.06
18,2018-07-16 22:18,9.12,0,1.32,0.79,1.36,11.23,85.01,0.23,23.83,4836,0,595,24,0,0,0,0,5454,520.04,15.19,3.98,8.76,32.71,13.76,47.62,1.02,25.36,25.15
19,2018-07-16 22:18,22.3,0.78,0,0.03,1.52,23.1,84.26,0.23,23.85,11817,777,0,1,0,0,0,0,12594,515.48,15.94,7.31,15.31,49.3,21.2,77.67,1.02,25.42,25.33
20,2018-07-16 22:18,14.9,0,2.07,0.84,1.45,17.81,84.54,0.22,23.89,7898,0,933,25,0,0,0,0,8856,517.19,19.81,6.2,13.72,42.97,17.72,67.61,1.02,25.49,25.31
21,2018-07-16 22:18,10.31,0,1.43,0.52,1.19,12.27,85.08,0.21,23.94,5464,0,645,16,0,0,0,0,6125,520.52,14.45,4.37,9.37,31.94,12.74,48.43,1.02,25.53,25.37
22,2018-07-16 22:18,13.56,0.46,0,0.24,1.23,14.25,85.49,0.23,24.04,7185,460,0,7,0,0,0,0,7652,523.01,12.13,4.88,10.35,34.13,14.5,51.29,1.02,25.51,25.58
