tank,Date/Time,Green Algae,Bluegreen,Diatoms,Cryptophyta,Yellow substances,Total conc.,Transmission,Depth,Temp. Sample,Green Algae,Bluegreen,Diatoms,Cryptophyta,#4,#5,#6,Yellow substances,Total cell count,Trans. 700 nm,LED 3 [525 nm],LED 4 [570 nm],LED 5 [610 nm],LED 6 [370 nm],LED 7 [590 nm],LED 8 [470 nm],Pressure,Temp. LEDs,Temp. Sensor
,date,µg/l,µg/l,µg/l,µg/l,r.u.,µg/l,%,m,°C,cells/ml,cells/ml,cells/ml,cells/ml,cells/ml,cells/ml,cells/ml,r.u.,cells/ml,digits,digits,digits,digits,digits,digits,digits,bar,°C,°C
1,2018-07-27 10:31,17.53,2.27,0,0.55,1.78,20.34,85.48,0.24,30.16,9289,2272,0,16,0,0,0,0,11577,522.95,18.72,8.9,20.42,48.12,24.93,69.73,1.02,29.3,30.83
2,2018-07-27 10:31,32.94,0.99,0,0.09,1.89,34.02,85.27,0.26,30.1,17460,985,0,3,0,0,0,0,18448,521.64,22.69,8,23,68.19,29.21,111.37,1.03,29.38,30.86
3,2018-07-27 10:31,22.44,0.77,0.13,0,1.19,23.33,85.72,0.25,29.93,11891,768,57,0,0,0,0,0,12716,524.39,16.09,7.67,17.45,45.57,18.82,75.19,1.02,29.65,30.87
4,2018-07-27 10:31,33.23,0.67,0,0.47,1.74,34.37,84.31,0.25,29.27,17614,671,0,14,0,0,0,0,18299,515.81,23.44,8.95,22.88,67.44,29.92,112.41,1.02,29.36,30.92
5,2018-07-27 10:31,13.76,0.39,0,0.47,1.6,14.61,85.66,0.26,29.27,7291,389,0,14,0,0,0,0,7695,524.06,14.24,4.57,11.21,39.32,15.71,56.57,1.03,29.45,30.96
6,2018-07-27 10:31,13.27,1.03,0,1.06,1.52,15.36,84.24,0.24,29.13,7033,1027,0,32,0,0,0,0,8092,515.36,16.9,5.45,14.34,39.28,20.65,57.31,1.02,29.48,30.94
7,2018-07-27 10:31,28.52,0.82,0,0,1.81,29.34,85,0.24,29.07,15115,820,0,0,0,0,0,0,15936,519.98,19.71,7,19.64,61.05,25.29,97.79,1.02,29.47,31.05
8,2018-07-27 10:31,17.57,1.11,0,0.6,1.35,19.28,85.35,0.25,28.99,9310,1114,0,18,0,0,0,0,10441,522.14,16.3,6.46,15.32,42.23,21.79,65.56,1.02,29.45,30.91
9,2018-07-27 10:31,12.49,0.15,0,1.02,1.43,13.67,86.16,0.25,29,6622,154,0,31,0,0,0,0,6807,527.1,15.29,5.04,11.34,36.48,16.17,53.83,1.02,29.51,31
10,2018-07-27 10:31,9.14,0.49,0,0.78,1.61,10.42,87.02,0.25,29.03,4846,489,0,24,0,0,0,0,5359,532.37,13.75,4.09,10.11,33.85,14.22,45.21,1.02,29.45,30.96
11,2018-07-27 10:31,15.88,0.28,0,0.68,1.77,16.84,85.48,0.26,28.95,8416,278,0,20,0,0,0,0,8714,522.91,16.33,5.74,12.82,44.58,17.68,65.07,1.03,29.55,31.04
12,2018-07-27 10:31,30.42,0.5,0,0.28,1.51,31.2,85.01,0.24,28.88,16123,501,0,8,0,0,0,0,16633,520.05,20.83,8.06,20.6,60.38,25.93,101.42,1.02,29.51,30.95
13,2018-07-27 10:31,21.81,0,6.04,0.85,1.79,28.7,84.83,0.25,28.79,11560,0,2716,26,0,0,0,0,14301,518.99,31.54,8.79,18.11,62.73,27.87,105.17,1.02,29.42,31.07
14,2018-07-27 10:31,10.86,0.03,0.18,1.23,1.31,12.3,86.55,0.23,28.72,5758,29,83,37,0,0,0,0,5907,529.47,15.5,5.39,11.24,33.57,15.02,49.76,1.02,29.45,31.1
15,2018-07-27 10:31,24.52,0.53,0,0.33,1.7,25.38,85.18,0.25,28.73,12994,526,0,10,0,0,0,0,13531,521.13,18.88,6.33,17.2,54.81,23.01,87.03,1.02,29.51,31.11
16,2018-07-27 10:31,16.34,0,0,0.81,1.36,17.15,86.47,0.23,28.65,8662,0,0,24,0,0,0,0,8687,529.02,17.46,6.74,11.19,39.65,15.66,63.46,1.02,29.47,31.06
17,2018-07-27 10:31,13.3,0.47,0,0.52,1.16,14.3,86.93,0.25,28.58,7051,475,0,16,0,0,0,0,7541,531.81,12.91,5.21,10.7,33.61,15.88,51.25,1.02,29.48,31.1
18,2018-07-27 10:31,7.13,0.07,0,0.85,1.69,8.05,86.7,0.24,28.56,3778,74,0,25,0,0,0,0,3878,530.42,12.37,4.12,6.95,32,12.45,40.49,1.02,29.55,31.04
19,2018-07-27 10:31,28.31,0.91,0,0,1.63,29.22,84.89,0.25,28.51,15003,912,0,0,0,0,0,0,15914,519.3,18.44,7.11,19.43,58.82,25.74,95.49,1.02,29.55,31.02
