tank,Date/Time,Green Algae,Bluegreen,Diatoms,Cryptophyta,Yellow substances,Total conc.,Transmission,Depth,Temp. Sample
,date,µg/l,µg/l,µg/l,µg/l,r.u.,µg/l,%,m,°C
1,2018-07-31 11:23,16.95,1.06,0,0.56,1.95,18.57,85.28,0.29,23.67
2,2018-07-31 11:23,28.97,1.3,0,0,1.74,30.27,84.93,0.26,23.78
3,2018-07-31 11:23,15.41,0.61,0,0.39,1.45,16.41,85.41,0.27,24.19
4,2018-07-31 11:23,21.49,1.59,0,0.41,2,23.49,84.35,0.27,24.23
5,2018-07-31 11:23,7.46,0.68,0,0.42,1.68,8.56,84.71,0.26,24.35
6,2018-07-31 11:23,7.7,0.43,0,1.04,1.77,9.17,84.6,0.26,24.46
7,2018-07-31 11:23,22.49,0.11,0,0.13,1.46,22.73,84.73,0.27,24.46
8,2018-07-31 11:23,19.61,1.19,0,0.08,1.66,20.88,85.18,0.26,24.6
9,2018-07-31 11:23,12.63,0.17,0,1.02,1.35,13.82,86.14,0.26,24.6
10,2018-07-31 11:23,9.95,1.01,0,0.29,1.37,11.25,86.21,0.27,24.66
11,2018-07-31 11:23,14.28,0,0,0.44,1.89,14.72,85.09,0.24,24.79
12,2018-07-31 11:23,21.58,0.2,0,0.52,1.75,22.3,85.38,0.26,24.81
13,2018-07-31 11:23,20.01,0.82,0,0.34,1.62,21.17,85.07,0,24.96
14,2018-07-31 11:23,7.53,0.18,2.53,0.55,1.43,10.79,86.15,0.27,24.87
15,2018-07-31 11:23,28.3,0.21,0,0,1.93,28.51,84.31,0.27,25.03
16,2018-07-31 11:23,14.53,0.67,0.31,0.37,1.57,15.89,86.2,0.26,25.04
17,2018-07-31 11:23,15.04,0,0,0.55,1.25,15.59,86.27,0.27,25.09
18,2018-07-31 11:23,15.04,0.75,0,0.15,1.55,15.94,86.27,0.26,25.1
19,2018-07-31 11:23,35.51,0.68,0,0,1.5,36.19,83.07,0.26,25.14
20,2018-07-31 11:23,7.79,1.51,0,0,1.91,9.3,86.39,0.25,25.25
21,2018-07-31 11:23,11.11,0,0,1.26,1.83,12.37,86.07,0.24,25.31
22,2018-07-31 11:23,28.59,1.16,0,0,1.96,29.74,84.95,0.26,25.34
23,2018-07-31 11:23,13.36,0.94,0,0.08,1.35,14.38,86.68,0.25,25.38
24,2018-07-31 11:23,17.4,1.07,0,0.36,2.33,18.83,84.93,0.25,25.52
25,2018-07-31 11:23,16.89,0.68,0,0.47,1.51,18.05,86.19,0.24,25.52
26,2018-07-31 11:23,4.14,1,0,0.8,2.14,5.94,86.37,0.27,25.59
27,2018-07-31 11:23,21.18,1.22,0,0,1.92,22.4,86.52,0.27,25.65
28,2018-07-31 11:23,6.45,0.45,0,0.51,1.27,7.4,86.75,0.25,25.56
29,2018-07-31 11:23,17.71,0.54,0,0.32,1.43,18.57,86.18,0.26,25.67
30,2018-07-31 11:23,20.85,1.26,0.15,0.2,1.6,22.46,85.12,0.26,25.77
31,2018-07-31 11:23,14.37,0.46,0,0.41,1.44,15.23,85.97,0.26,25.68
32,2018-07-31 11:23,20.94,0.14,0,0.36,1.67,21.44,85.58,0.26,25.71
33,2018-07-31 11:23,17.73,0,0,0.97,1.44,18.7,86.22,0.26,25.81
34,2018-07-31 11:23,18.26,0.51,0,0.58,1.39,19.34,86.2,0.26,25.82
35,2018-07-31 11:23,6.16,1.03,0,0.63,1.87,7.82,86.24,0.26,25.79
36,2018-07-31 11:23,14.48,0.01,0,0.84,1.7,15.32,85.78,0.25,25.81
37,2018-07-31 11:23,11.07,0.67,0,0.74,1.71,12.48,86.45,0.25,25.87
38,2018-07-31 11:23,18.9,1.63,0,0.07,1.78,20.6,85.19,0.25,25.9
39,2018-07-31 11:23,16.8,1.1,0,0.52,1.7,18.42,86.31,0.27,25.85
40,2018-07-31 11:23,13.27,0.93,0,0.21,1.63,14.41,86.93,0.27,25.81
41,2018-07-31 11:23,17.33,0,0,1.15,1.27,18.48,86.63,0.26,25.96
42,2018-07-31 11:23,10.48,1.1,0,0.29,1.57,11.87,86.77,0.26,25.94
43,2018-07-31 11:23,7.8,0.15,0,0.63,1.61,8.59,86.24,0.25,25.97
44,2018-07-31 11:23,3.28,1.19,0,0.55,1.82,5.02,85.96,0.26,25.96
45,2018-07-31 11:23,3.69,0.36,0,0.41,1.03,4.45,87.21,0.25,25.96
46,2018-07-31 11:23,11.19,1.29,0,1.46,1.65,13.93,86.26,0.25,26
47,2018-07-31 11:23,10.71,0.19,0,1.21,1.4,12.12,87.12,0.25,26.01
48,2018-07-31 11:23,13.35,0.41,0,0.35,1.63,14.11,85.99,0.26,26.11
