tank,Date/Time,Green Algae,Bluegreen,Diatoms,Cryptophyta,Yellow substances,Total conc.,Transmission,Depth,Temp. Sample
,date,µg/l,µg/l,µg/l,µg/l,r.u.,µg/l,%,m,°C
1,2018-07-09 11:32,16.29,0.05,0.69,0,1.24,17.03,85.45,0.3,22.84
2,2018-07-09 11:32,10.19,0,3,0.38,1.51,13.57,85.31,0.29,23.04
3,2018-07-09 11:32,8.63,0.5,0.34,0,1.21,9.47,85.58,0.29,23.21
4,2018-07-09 11:32,13.57,0.28,0,0.76,1.31,14.62,85.72,0.3,23.16
5,2018-07-09 11:32,7.76,0.22,0,0.76,1.23,8.74,86.32,0.3,23.27
6,2018-07-09 11:32,7.55,0,2.76,1.01,1.83,11.32,85.48,0.3,23.36
7,2018-07-09 11:32,12.35,0,2.05,0.09,1.3,14.49,85.07,0.3,23.38
8,2018-07-09 11:32,7.59,0.56,0,0.01,1.03,8.16,86.79,0.28,23.49
9,2018-07-09 11:32,4.96,0,2.74,0,1.23,7.69,86.42,0.3,23.48
10,2018-07-09 11:32,7.78,0,0.91,0.06,0.91,8.75,86.45,0.3,23.59
11,2018-07-09 11:32,8.1,0,16.69,0.04,1.98,24.83,84.67,0.3,23.53
12,2018-07-09 11:32,8.18,0,2.47,0.82,1.68,11.47,85.94,0.3,23.65
13,2018-07-09 11:32,12.67,0,0,1.25,1.31,13.91,85.91,0.3,23.73
14,2018-07-09 11:32,3.77,0,1.52,0.22,0.99,5.51,86.71,0.29,23.74
15,2018-07-09 11:32,6.79,0.53,0.03,0.54,1.22,7.89,86.46,0.3,23.79
16,2018-07-09 11:32,6.03,0.07,0.68,0.49,1.32,7.27,86.17,0.3,23.9
17,2018-07-09 11:32,7.19,0,4.06,0.08,1.18,11.33,86.44,0.29,23.87
18,2018-07-09 11:32,6.45,0.59,1.8,0,1.36,8.84,85.98,0.29,23.98
19,2018-07-09 11:32,14.49,0.11,1.5,1,1.68,17.1,85.7,0.3,23.95
20,2018-07-09 11:32,10.23,0.49,2.54,0,1.12,13.26,86.31,0.31,23.98
21,2018-07-09 11:32,6.39,0,7.2,0,1.44,13.59,86.43,0.3,24.02
22,2018-07-09 11:32,11.48,0,1.27,0.25,1.6,13.01,86.11,0.29,24.14
23,2018-07-09 11:32,6.5,0,0.8,0.21,0.96,7.51,87.02,0.3,24.12
24,2018-07-09 11:32,12.09,0,2.12,0.82,1.77,15.03,84.96,0.29,24.11
25,2018-07-09 11:32,19.77,0,4.73,0,0.43,24.51,85.75,0.29,24.16
26,2018-07-09 11:32,9.81,0.05,0.6,1.24,1.75,11.7,86.26,0,24.25
27,2018-07-09 11:32,11.24,0,5.54,0.16,1.55,16.94,85.67,0.3,24.26
28,2018-07-09 11:32,6.57,0.44,0,0.31,1.14,7.32,86.67,0.3,24.32
29,2018-07-09 11:32,6.06,0.66,1.01,0,1,7.72,86.97,0.31,24.35
30,2018-07-09 11:32,9.1,0,1.55,0.78,1.25,11.42,86.26,0.3,24.35
31,2018-07-09 11:32,3.33,0.4,2.05,0.26,1.42,6.05,86.04,0.3,24.43
32,2018-07-09 11:32,4.99,0.72,1.41,0.21,1.7,7.33,87.34,0.3,24.59
33,2018-07-09 11:32,2.51,0,1.09,0.89,1.54,4.49,86.57,0.3,24.54
34,2018-07-09 11:32,,,,,,,,,
35,2018-07-09 11:32,4.69,0,2.95,0.55,1.45,8.19,86.47,0.29,24.57
36,2018-07-09 11:32,12.38,0,3.04,0.85,1.41,16.27,85.6,0.3,24.56
37,2018-07-09 11:32,9.96,0,0,0.78,1.35,10.74,86.08,0.3,24.64
38,2018-07-09 11:32,3.87,0.71,0,0.18,1.33,4.76,87.01,0.28,24.56
39,2018-07-09 11:32,10.96,0,5.58,0.58,1.86,17.12,85.63,0.3,24.69
40,2018-07-09 11:32,9.72,0,1.32,0.79,1.51,11.82,86.19,0.29,24.82
41,2018-07-09 11:32,5.68,0.28,0.22,0.44,1.23,6.62,86.72,0.3,24.76
42,2018-07-09 11:32,1.61,0.06,0,1.01,1.44,2.68,86.79,0.29,24.76
43,2018-07-09 11:32,4.05,0,0,1.29,1.84,5.33,86.68,0.3,24.77
44,2018-07-09 11:32,12.38,0,6.46,0,0.83,18.84,86.86,0.28,24.77
45,2018-07-09 11:32,5.2,0,7,0,1.3,12.21,87.37,0.29,24.79
46,2018-07-09 11:32,18.11,0,10.26,0,0.94,28.37,85.24,0.28,24.77
47,2018-07-09 11:32,4.15,0.11,2.56,0,1.09,6.82,86.51,0.29,24.83
48,2018-07-09 11:32,9.7,0.86,0,0.13,1.34,10.68,87.02,0.29,24.87
