Date/Time,Green Algae,Bluegreen,Diatoms,Cryptophyta,#4,#5,#6,Yellow substances,Total conc.,Transmission,Depth,Temp. Sample,Green Algae,Bluegreen,Diatoms,Cryptophyta,#4,#5,#6,Yellow substances,Total cell count,Trans. 700 nm,LED 3 [525 nm],LED 4 [570 nm],LED 5 [610 nm],LED 6 [370 nm],LED 7 [590 nm],LED 8 [470 nm],Pressure,Temp. LEDs,Temp. Sensor,tank
date,µg/l,µg/l,µg/l,µg/l,µg/l,µg/l,µg/l,r.u.,µg/l,%,m,°C,cells/ml,cells/ml,cells/ml,cells/ml,cells/ml,cells/ml,cells/ml,r.u.,cells/ml,digits,digits,digits,digits,digits,digits,digits,bar,°C,°C,
2018-06-11 11:29,0,0,0.6,0,0,0,0,0.92,0.6,83.6,0.31,23.52,0,0,269,0,0,0,0,0,269,511.44,8.32,-3.62,5.03,12.67,-1.19,10.27,1.03,24.71,23.81,1
2018-06-11 11:32,1.3,0.52,0.1,0,0,0,0,0.79,1.92,85,0.33,23.77,686,519,46,0,0,0,0,0,1252,520.03,5.11,0.85,3.66,12.04,4.7,12.13,1.03,25.07,24.31,2
2018-06-11 11:33,0,0.42,0.32,0,0,0,0,0.79,0.74,85,0.3,23.71,0,423,143,0,0,0,0,0,565,520,5.49,2.03,3.36,10.77,2.79,8.84,1.03,25.31,24.33,3
2018-06-11 11:34,0.48,0.25,0,0.44,0,0,0,0.99,1.17,85.29,0.3,23.89,253,250,0,13,0,0,0,0,516,521.78,6.35,3.01,3.14,13.98,5.39,13.34,1.03,25.42,24.72,4
2018-06-11 11:36,0.61,0.76,0.26,0,0,0,0,0.97,1.64,85.48,0.32,23.93,326,762,117,0,0,0,0,0,1204,522.92,5.83,2.03,4.51,13.69,5.13,12.56,1.03,25.53,24.8,5
2018-06-11 11:37,0.24,0.15,0,0.39,0,0,0,0.9,0.78,84.89,0.31,23.98,130,149,0,12,0,0,0,0,290,519.34,5.82,1.77,2.42,12.36,4.66,11.55,1.03,25.63,24.95,6
2018-06-11 11:39,0.62,0.47,0,0,0,0,0,0.91,1.09,84.8,0.33,24.09,329,472,0,0,0,0,0,0,801,518.81,4.31,3.58,2.7,12.52,4.13,10.94,1.03,25.67,25.1,7
2018-06-11 11:40,0,0.46,0.52,0,0,0,0,0.71,0.98,84.97,0.3,24.12,0,463,232,0,0,0,0,0,694,519.84,5.83,-0.47,3.72,10.03,3.3,8.81,1.03,25.77,25.4,8
2018-06-11 11:41,0.13,0,0,0.17,0,0,0,0.79,0.29,84.99,0.31,24.16,67,0,0,5,0,0,0,0,72,519.92,5.15,3.07,0.46,9.98,2.08,9.37,1.03,25.71,25.53,9
2018-06-11 11:43,0,0.42,0.2,0,0,0,0,0.99,0.62,85.24,0.31,24.18,0,423,88,0,0,0,0,0,511,521.48,5.24,1.91,2.72,12.82,3.58,10.58,1.03,25.84,25.72,10
2018-06-11 11:44,0.51,0.52,0,0.03,0,0,0,1.06,1.05,84.7,0.29,24.27,268,520,0,1,0,0,0,0,788,518.16,5.21,2.96,3.27,14.15,4.25,12.21,1.03,25.88,25.87,11
2018-06-11 11:46,0.56,0.52,0,0,0,0,0,0.84,1.08,84.56,0.31,24.23,296,516,0,0,0,0,0,0,812,517.29,3.38,1,3.48,11.72,4.19,10.16,1.03,26,25.98,12
2018-06-11 11:47,0.6,0.63,0,0,0,0,0,0.81,1.23,85.51,0.31,24.33,318,626,0,0,0,0,0,0,944,523.11,4.62,2.58,3.43,11.24,4.41,9.93,1.03,25.93,26.08,13
2018-06-11 11:49,0,0.18,0.25,0.26,0,0,0,0.77,0.68,85.35,0.3,24.36,0,175,112,8,0,0,0,0,295,522.14,5.86,1.08,2.27,10.74,3.98,9.7,1.03,26.06,26.25,14
2018-06-11 11:50,0.33,0.14,0.18,0,0,0,0,1.02,0.65,85.75,0.31,24.44,172,142,81,0,0,0,0,0,396,524.62,4.98,1.61,2.14,13.4,2.72,11.8,1.03,26.1,26.43,15
2018-06-11 11:53,0.37,0.57,0,0.14,0,0,0,1.01,1.09,85.64,0.29,24.44,196,574,0,4,0,0,0,0,775,523.9,5.49,2.48,3.27,13.59,5.25,11.88,1.03,26.15,26.63,16
2018-06-11 11:55,0,0.43,0.02,0,0,0,0,0.86,0.46,85.3,0.31,24.55,0,434,11,0,0,0,0,0,444,521.85,4.5,1.44,2.4,10.95,3.55,8.74,1.03,26.17,26.83,17
2018-06-11 11:57,1.51,0.47,0,0,0,0,0,0.97,1.98,85.04,0.3,24.63,802,468,0,0,0,0,0,0,1270,520.26,5.11,1.43,3.66,14.36,4.7,14.08,1.03,26.18,26.91,18
2018-06-11 11:59,0.49,0.7,0.54,0,0,0,0,0.89,1.74,85.35,0.3,24.54,262,701,243,0,0,0,0,0,1207,522.18,6.01,0.94,3.62,12.93,5.82,12.48,1.03,26.25,27.05,19
2018-06-11 12:00,0.47,0.16,0.06,0.05,0,0,0,0.86,0.75,85.03,0.31,24.67,251,160,25,2,0,0,0,0,439,520.19,4.58,1.4,1.69,11.61,3.39,10.49,1.03,26.24,27.1,20
2018-06-11 12:02,2.13,0.47,0,0,0,0,0,0.56,2.6,85.9,0.31,24.72,1131,468,0,0,0,0,0,0,1599,525.53,4.45,2.43,3.43,10.27,4.83,11.81,1.03,26.33,27.31,21
2018-06-11 12:05,2.15,0.42,0,0,0,0,0,0.92,2.56,85.71,0.3,24.76,1139,416,0,0,0,0,0,0,1555,524.38,4.72,1.54,3.86,14.58,4.95,15.28,1.03,26.37,27.36,22
2018-06-11 12:06,0,0.12,0,0.16,0,0,0,0.84,0.28,86.15,0.3,24.77,0,117,0,5,0,0,0,0,121,527.02,5.1,2.47,0.6,11.4,3.71,8.35,1.03,26.31,27.64,23
2018-06-11 12:08,1.19,0.5,0.19,0,0,0,0,0.91,1.88,86.12,0.3,24.79,630,502,86,0,0,0,0,0,1218,526.86,5.44,1.95,3.28,13.46,4.94,13.25,1.03,26.48,27.6,24
2018-06-11 12:38,0,0.28,0,0.27,0,0,0,0.82,0.55,84.94,0.3,24.11,0,283,0,8,0,0,0,0,291,519.66,6.04,2.59,3.15,11.21,3.34,8.97,1.03,24.05,25.54,25
2018-06-11 12:39,0,0.27,0,0.14,0,0,0,1.12,0.42,84.51,0.3,24.15,0,274,0,4,0,0,0,0,278,517,5.39,1.72,2.18,14.17,4.01,11.82,1.03,24.71,25.52,26
2018-06-11 12:40,0,0.13,0,0.55,0,0,0,0.76,0.67,85.38,0.32,24.29,0,125,0,16,0,0,0,0,142,522.31,6.02,3.18,2.73,10.79,4.65,10.02,1.03,25.23,25.62,27
2018-06-11 12:41,0.44,0.05,0,0.19,0,0,0,0.83,0.68,84.83,0.31,24.35,233,54,0,6,0,0,0,0,293,518.94,4.64,2.53,1.75,11.27,3.24,10.36,1.03,25.52,25.94,28
2018-06-11 12:44,0,0.14,0.25,0,0,0,0,0.67,0.4,85.66,0.31,24.48,0,145,114,0,0,0,0,0,259,524.02,4.47,1.08,1.89,8.93,2.14,7.51,1.03,25.91,26.06,29
2018-06-11 12:46,0.23,0.53,0.36,0,0,0,0,0.88,1.12,85.25,0.29,24.63,119,533,161,0,0,0,0,0,814,521.51,5.37,1.5,3.74,12.04,3.91,10.87,1.03,26.19,26.41,30
2018-06-11 12:47,0,0.7,0.5,0,0,0,0,0.86,1.2,84.88,0.33,24.63,0,698,227,0,0,0,0,0,925,519.26,5.83,1.82,4.3,11.89,4.39,10.55,1.03,26.2,26.51,31
2018-06-11 12:49,0.09,0.39,0,0,0,0,0,0.98,0.48,85.27,0.31,24.7,46,393,0,0,0,0,0,0,439,521.63,3.51,2.3,2.61,12.71,3.55,10.14,1.03,26.28,26.46,32
