tank,Date/Time,Green Algae,Bluegreen,Diatoms,Cryptophyta,#4,#5,#6,Yellow substances,Total conc.,Transmission,Depth,Temp. Sample
,date,µg/l,µg/l,µg/l,µg/l,µg/l,µg/l,µg/l,r.u.,µg/l,%,m,¡C
1,2018-06-12 16:25,0.75,0.18,0.66,0,0,0,0,0.81,1.59,84.46,0.28,23.28
2,2018-06-12 16:25,0,0.52,0,0.28,0,0,0,0.98,0.8,84.45,0.24,23.37
3,2018-06-12 16:25,0,0.35,0,0,0,0,0,0.79,0.35,83.88,0.25,23.52
4,2018-06-12 16:25,0,0.1,1.18,0,0,0,0,0.91,1.28,84.36,0.25,23.62
5,2018-06-12 16:25,0.72,0,0,0.36,0,0,0,1.01,1.08,84.57,0.26,23.69
6,2018-06-12 16:25,1.62,0.03,0,0.37,0,0,0,0.77,2.01,84.46,0.26,23.8
7,2018-06-12 16:25,0.6,0.7,0,0,0,0,0,0.76,1.3,84.03,0.24,23.79
8,2018-06-12 16:25,0,0.42,0,0,0,0,0,0.94,0.42,84.23,0.25,23.91
9,2018-06-12 16:25,0,0,1.57,0,0,0,0,0.64,1.57,84.81,0.26,23.96
10,2018-06-12 16:25,0.42,0,0,0.2,0,0,0,0.88,0.62,84.24,0.25,23.96
11,2018-06-12 16:25,1.43,0.42,0,0,0,0,0,0.86,1.84,84.94,0.24,24.02
12,2018-06-12 16:25,0.37,0,1.41,0.2,0,0,0,0.78,1.98,84.88,0.25,24.15
13,2018-06-12 16:25,0.11,0.36,0,0.25,0,0,0,1.03,0.73,85.17,0.23,24.22
14,2018-06-12 16:25,0.82,0.27,0,0,0,0,0,0.88,1.09,84.83,0.25,24.26
15,2018-06-12 16:25,1.21,0.31,0,0,0,0,0,0.85,1.52,84.94,0.23,24.31
16,2018-06-12 16:25,0,0,1.11,0.08,0,0,0,0.73,1.2,84.78,0.24,24.26
17,2018-06-12 16:25,2.04,0.31,0,0.25,0,0,0,0.65,2.6,85.23,0.25,24.56
18,2018-06-12 16:25,2.15,0,0.83,0,0,0,0,0.96,2.97,84.8,0.25,24.5
19,2018-06-12 16:25,2.45,0.38,0,0.1,0,0,0,0.66,2.93,85.38,0.26,24.6
20,2018-06-12 16:25,0.5,0.47,0,0.17,0,0,0,0.92,1.14,85.38,0.24,24.59
21,2018-06-12 16:25,0,0.57,0,0,0,0,0,1.11,0.57,85.07,0.23,24.52
22,2018-06-12 16:25,0,0.1,1.42,0.16,0,0,0,0.85,1.69,84.58,0.24,24.54
23,2018-06-12 16:25,0.4,0.21,0,0.18,0,0,0,0.66,0.79,84.96,0.27,24.63
24,2018-06-12 16:25,0,0,0.44,0.55,0,0,0,0.89,0.99,85.32,0.25,24.68
25,2018-06-12 16:25,1.32,0.4,0.21,0,0,0,0,0.69,1.93,85.59,0.25,24.67
26,2018-06-12 16:25,1.55,0.44,0.69,0,0,0,0,0.87,2.69,84.33,0.23,24.71
27,2018-06-12 16:25,0.8,0.45,0.2,0,0,0,0,0.96,1.45,85.59,0.26,24.62
28,2018-06-12 16:25,0.08,0.48,0,0,0,0,0,1.06,0.56,85.99,0.24,24.75
29,2018-06-12 16:25,1.78,0.23,0,0,0,0,0,0.67,2.01,84.8,0.21,24.76
30,2018-06-12 16:25,1.18,0.23,0.71,0,0,0,0,0.68,2.12,85.6,0.25,24.73
31,2018-06-12 16:25,0,0.13,0.38,0.28,0,0,0,0.83,0.79,85.92,0.25,24.79
32,2018-06-12 16:25,0,0.12,0,0.28,0,0,0,1.1,0.4,85.76,0.26,24.82
33,2018-06-12 16:25,0,0.53,0.05,0,0,0,0,0.94,0.59,85.76,0.24,24.77
34,2018-06-12 16:25,0.22,0.81,0,0.02,0,0,0,1.2,1.04,85.61,0.25,24.87
35,2018-06-12 16:25,0.46,0.1,1.16,0,0,0,0,0.73,1.73,85.63,0.26,24.83
36,2018-06-12 16:25,1.36,0.62,0,0,0,0,0,0.85,1.98,85.98,0.23,24.85
37,2018-06-12 16:25,0.46,0,0,0.3,0,0,0,0.87,0.76,85.07,0.25,24.88
38,2018-06-12 16:25,0.08,0.51,0.15,0.21,0,0,0,0.98,0.95,85.48,0.26,24.87
39,2018-06-12 16:25,0.9,0.27,0,0,0,0,0,0.98,1.17,85.8,0.23,24.83
40,2018-06-12 16:25,0.83,0.6,0,0,0,0,0,1.03,1.43,84.9,0.24,24.92
41,2018-06-12 16:25,1.35,0.19,0,0,0,0,0,0.53,1.54,85.42,0.24,24.86
42,2018-06-12 16:25,0.65,0.25,0.01,0,0,0,0,0.87,0.9,85.54,0.24,24.87
43,2018-06-12 16:25,0,0.4,0,0.07,0,0,0,1.17,0.47,85.08,0.25,24.98
44,2018-06-12 16:25,0.28,0.38,1.03,0,0,0,0,0.83,1.69,84.33,0.23,24.91
45,2018-06-12 16:25,1.26,0.51,0,0,0,0,0,0.96,1.77,85.73,0.25,24.96
46,2018-06-12 16:25,5.87,0,6.23,0,0,0,0,1.11,12.1,84.34,0.22,24.95
47,2018-06-12 16:25,0,0.1,0.26,0.22,0,0,0,0.84,0.58,85.6,0.23,24.94
48,2018-06-12 16:25,0.54,0.25,0,0,0,0,0,0.9,0.79,85.76,0.21,25.07
