tank,Date/Time,Green Algae,Bluegreen,Diatoms,Cryptophyta,Yellow substances,Total conc.,Transmission,Depth,Temp. Sample
,date,µg/l,µg/l,µg/l,µg/l,r.u.,µg/l,%,m,¡C
1,2018-06-19 13:24,4.35,0.12,0,0.36,1.05,4.83,85.13,0.29,23.62
2,2018-06-19 13:24,2.08,0.48,0,0,1.37,2.56,84.33,0.3,23.68
3,2018-06-19 13:24,5.29,0.73,0,0,1.35,6.02,84.8,0.28,23.79
4,2018-06-19 13:24,19.25,0,0,0.11,1.13,19.36,84.57,0.27,23.87
5,2018-06-19 13:24,31.9,0,0,0,1.17,31.9,84.24,0.28,23.94
6,2018-06-19 13:24,18.42,0.09,0,0,1.32,18.52,84.57,0.28,24.11
7,2018-06-19 13:24,7.39,0.61,0,0.27,1.06,8.27,85.1,0.28,24.12
8,2018-06-19 13:24,11.94,0.32,0,0.04,1.1,12.3,84.32,0.26,24.3
9,2018-06-19 13:24,2.25,0.04,0,0.87,0.89,3.15,84.69,0,24.36
10,2018-06-19 13:24,9.59,0,0,0.34,1.04,9.93,84.92,0.28,24.52
11,2018-06-19 13:24,25.99,0,0,0,0.73,25.99,84.87,0,24.48
12,2018-06-19 13:24,2.54,0.29,0,0.67,1.2,3.51,85,0.27,25.12
13,2018-06-19 13:24,10.34,0.36,0,0.12,1.13,10.82,85.23,0.26,25.09
14,2018-06-19 13:24,23.89,0,0,0,1.26,23.89,84.23,0.27,25.14
15,2018-06-19 13:24,4.56,0.71,0,0,1.18,5.27,85.53,0.25,25.14
16,2018-06-19 13:24,21.6,0,0,0,1.04,21.6,85.28,0.27,25.23
17,2018-06-19 13:24,4.79,0.24,0,0.45,1.13,5.48,85.04,0.27,25.2
18,2018-06-19 13:24,22.88,0,0,0,1.36,22.88,85.05,0.25,25.38
19,2018-06-19 13:24,2.34,0.69,0.72,0,1.13,3.75,85.74,0.26,25.3
20,2018-06-19 13:24,15.78,0.14,0,0,1.14,15.92,84.48,0.27,25.25
21,2018-06-19 13:24,5.9,0,0,1.2,1.49,7.1,85.88,0.26,25.36
22,2018-06-19 13:24,11.11,0.53,0,0.1,1.2,11.74,85.48,0.3,25.39
23,2018-06-19 13:24,2.85,0,0,0.66,0.97,3.51,85.8,0.25,25.26
24,2018-06-19 13:24,6.06,0.51,0,0.28,1.43,6.86,85.06,0.25,25.43
25,2018-06-19 13:24,2.65,0.57,0,0.13,0.94,3.36,86.53,0.26,25.37
26,2018-06-19 13:24,39.76,0,0,0,0.98,39.76,84.75,0.25,25.41
27,2018-06-19 13:24,7.75,0.47,0,0.35,1.02,8.57,85.29,0.27,25.49
28,2018-06-19 13:24,25.05,0,0,0,0.81,25.05,85.82,0.25,25.43
29,2018-06-19 13:24,1.31,0.39,0.79,0,1.13,2.5,85.34,0.26,25.45
30,2018-06-19 13:24,1.14,0.56,0.92,0,1.04,2.61,85.79,0.27,25.53
31,2018-06-19 13:24,10.68,0.08,0,0,1.13,10.75,86.31,0,25.56
32,2018-06-19 13:24,1.88,0.62,0,0.44,1.42,2.94,86.53,0.24,25.5
33,2018-06-19 13:24,8.37,0.26,0.03,0,1.15,8.66,85.67,0.25,25.55
34,2018-06-19 13:24,13.77,0.11,0,0,1.08,13.88,85.05,0.24,25.6
35,2018-06-19 13:24,19.91,0,0,0,1.26,19.91,85.07,0.27,25.59
36,2018-06-19 13:24,15.05,0,0,0.02,1.08,15.06,85.26,0.27,25.54
37,2018-06-19 13:24,1.08,0.4,0,0.54,1.29,2.02,86.09,0.24,25.62
38,2018-06-19 13:24,4.93,0.66,0.19,0,1.24,5.78,85.37,0.26,25.67
39,2018-06-19 13:24,1.61,0.15,0.79,0,1.13,2.55,86.45,0.24,25.68
40,2018-06-19 13:24,23.68,0,0,0,1.29,23.68,84.71,0.25,25.58
41,2018-06-19 13:24,3.57,0.28,1.57,0,0.8,5.42,86.31,0.27,25.74
42,2018-06-19 13:24,8.64,0.52,0,0.16,1.14,9.32,85.84,0.25,25.59
43,2018-06-19 13:24,12.85,0.07,0,0.25,1.52,13.17,85.17,0.23,25.76
44,2018-06-19 13:24,9.22,0.27,0.01,0.5,1.46,10,86.1,0.24,25.74
45,2018-06-19 13:24,19.31,0,0,0,0.86,19.31,85.05,0.26,25.75
46,2018-06-19 13:24,1.1,0,1.67,0.46,1.15,3.23,85.96,0.26,25.68
47,2018-06-19 13:24,12,0,0,0,1.19,12,84.72,0.25,25.86
48,2018-06-19 13:24,10.6,0.32,0,0,1.1,10.93,85.85,0.26,25.81
