tank,Date/Time,Green Algae,Bluegreen,Diatoms,Cryptophyta,#4,#5,#6,Yellow substances,Total conc.,Transmission,Depth,Temp. Sample
,date,µg/l,µg/l,µg/l,µg/l,µg/l,µg/l,µg/l,r.u.,µg/l,%,m,°C
1,2018-05-30 13:32,0.28,0.3,0.19,0,0,0,0,0.84,0.77,85.05,0.25,23.82
2,2018-05-30 13:33,0.55,0.64,0,0,0,0,0,0.83,1.2,84.99,0.23,23.93
3,2018-05-30 13:36,0.28,0,0.89,0,0,0,0,0.76,1.16,84.45,0.26,24.05
4,2018-05-30 13:37,2.4,0.2,1.05,0,0,0,0,0.64,3.65,84.55,0.24,24.12
5,2018-05-30 13:40,1.95,0,0.39,0,0,0,0,0.7,2.34,84.69,0.25,24.18
6,2018-05-30 13:42,0,0,0.48,0.1,0,0,0,0.71,0.57,85.93,0.24,24.42
7,2018-05-30 13:44,1.18,0.41,0,0,0,0,0,0.73,1.6,84.9,0.24,24.51
8,2018-05-30 13:46,1.42,0,0,0,0,0,0,0.63,1.42,85.01,0.21,24.51
9,2018-05-30 13:47,0.38,0.43,0,0,0,0,0,0.77,0.8,85.54,0.25,24.53
10,2018-05-30 13:50,2,0,0.67,0,0,0,0,0.58,2.67,85.2,0.24,24.52
11,2018-05-30 13:52,1.22,0.23,0.2,0,0,0,0,0.57,1.65,85.29,0,24.63
12,2018-05-30 13:54,0.48,0.11,0.16,0,0,0,0,0.7,0.74,85.02,0.24,24.67
13,2018-05-30 13:56,2.42,0,0.31,0,0,0,0,0.41,2.73,85.68,0.25,24.67
14,2018-05-30 13:58,0.98,0,0,0.26,0,0,0,0.52,1.24,85.64,0.23,24.74
15,2018-05-30 14:00,1.63,0,0.09,0,0,0,0,0.46,1.72,85.54,0.26,24.88
16,2018-05-30 14:03,0.67,0,0,0,0,0,0,0.68,0.67,85.81,0.23,24.76
17,2018-05-30 14:05,0.02,0.06,0,0,0,0,0,0.63,0.08,86.42,0.22,24.91
18,2018-05-30 14:07,0,0.36,0.23,0,0,0,0,0.77,0.6,85.23,0.25,24.92
19,2018-05-30 14:09,0.99,0,0.74,0.26,0,0,0,0.46,1.99,85.8,0.24,25.04
20,2018-05-30 14:10,0.17,0.58,0,0,0,0,0,0.76,0.75,86.15,0.24,25.07
21,2018-05-30 14:14,1.79,0,0,0,0,0,0,0.35,1.79,85.96,0.23,25.2
22,2018-05-30 14:15,0,0,0,0.4,0,0,0,0.75,0.4,83.73,0.22,25.18
23,2018-05-30 14:17,0,0.3,0.47,0,0,0,0,0.76,0.77,85.73,0.23,25.2
24,2018-05-30 14:19,0.78,0.29,0.56,0,0,0,0,0.64,1.64,86,0.2,25.3
25,2018-05-30 14:21,1.52,0,1.8,0,0,0,0,0.73,3.32,84.16,0.23,25.22
26,2018-05-30 14:31,0,0.03,0,0.39,0,0,0,0.8,0.42,85.43,0.23,25.49
27,2018-05-30 14:33,1.81,0,0,0.43,0,0,0,0.88,2.24,85.02,0.23,25.4
28,2018-05-30 14:34,0,0,0,0.39,0,0,0,0.66,0.39,85.73,0.23,25.54
29,2018-05-30 14:36,0.91,0,0.63,0.04,0,0,0,0.55,1.58,85.75,0.21,25.56
30,2018-05-30 14:39,1.05,0.34,0,0,0,0,0,0.68,1.39,85.3,0.21,25.61
31,2018-05-30 14:41,1.61,0.26,0.67,0,0,0,0,0.32,2.54,85.54,0.21,25.68
32,2018-05-30 14:42,0.48,0.08,1.43,0,0,0,0,0.48,1.98,85.19,0.24,25.78
33,2018-05-30 14:44,0,0.5,1.34,0.04,0,0,0,0.46,1.87,85.66,0,25.76
34,2018-05-30 14:45,0,0.77,0.48,0,0,0,0,0.82,1.24,84.71,0.22,25.74
35,2018-05-30 14:47,1.27,0.4,0,0.01,0,0,0,0.69,1.68,85.78,0.24,25.86
36,2018-05-30 14:48,3.14,0,1.96,0,0,0,0,0.62,5.1,84.69,0.2,25.86
37,2018-05-30 14:50,0,0.02,0.07,0.64,0,0,0,0.72,0.73,85.65,0.25,25.75
38,2018-05-30 14:51,1.01,0.22,0.49,0,0,0,0,0.76,1.72,85.32,0.21,25.81
39,2018-05-30 14:52,1.12,0,1.63,0,0,0,0,0.53,2.76,84.87,0.23,25.84
40,2018-05-30 14:54,1.26,0.16,1.07,0,0,0,0,0.6,2.49,85.7,0.21,25.86
41,2018-05-30 14:56,1.42,0.27,0.87,0,0,0,0,0.58,2.56,85.34,0.21,25.88
42,2018-05-30 14:57,0.65,0.5,1.87,0,0,0,0,0.58,3.01,85.14,0.23,25.92
43,2018-05-30 15:04,4.43,0,2.71,0,0,0,0,0.47,7.14,85.03,0.22,25.97
44,2018-05-30 15:06,2.24,0.21,1.84,0.02,0,0,0,0.37,4.31,84.48,0.23,25.98
45,2018-05-30 15:07,8.69,0,2.88,0,0,0,0,0.42,11.57,84.42,0.21,25.94
46,2018-05-30 15:09,5.39,0,2.7,0,0,0,0,0.42,8.08,84.26,0.21,25.98
47,2018-05-30 15:10,1.86,0,0.72,0.03,0,0,0,0.55,2.62,86.24,0.22,26.03
48,2018-05-30 15:12,1.16,0,0,0,0,0,0,0.73,1.6,84.92,0.2,24.51
