tank,Date/Time,Green Algae,Bluegreen,Diatoms,Cryptophyta,Yellow substances,Total conc.,Transmission,Depth,Temp. Sample
,date,µg/l,µg/l,µg/l,µg/l,r.u.,µg/l,%,m,°C
1,2018-05-31 13:19,1.79,0.21,0.21,0,0.49,2.21,84.71,0.2,23.45
2,2018-05-31 13:21,2.45,0.17,0,0,0.42,2.62,84.21,0.19,23.59
3,2018-05-31 13:22,0.66,0.1,0,0.23,0.49,0.98,84.39,0.2,23.73
4,2018-05-31 13:23,0.79,0,0.95,0,0.54,1.75,84.33,0.2,23.89
5,2018-05-31 13:30,2.76,0.04,0.35,0,0.22,3.14,84.15,0.2,24.16
6,2018-05-31 13:32,0.95,0.26,0,0,0.47,1.21,84.84,0.2,24.34
7,2018-05-31 13:33,0.37,0.22,0.42,0,0.55,1.01,84.9,0.22,24.33
8,2018-05-31 13:34,0,0,0,0.35,0.65,0.35,84.22,0.18,24.43
9,2018-05-31 13:36,0.5,0.36,0,0,0.68,0.86,84.65,0.21,24.49
10,2018-05-31 13:37,2.1,0.15,0,0,0.52,2.25,84.57,0.17,24.52
11,2018-05-31 13:38,0.31,0.37,0,0,0.63,0.68,84.85,0.21,24.61
12,2018-05-31 13:41,0,0.23,0,0,0.68,0.23,85.33,0.19,24.67
13,2018-05-31 13:43,0,0.01,0.78,0.07,0.6,0.86,84.67,0.19,24.8
14,2018-05-31 13:45,1.16,0.04,0.31,0,0.46,1.52,85.55,0.2,24.87
15,2018-05-31 13:46,1.34,0.04,0.23,0.25,0.19,1.86,85.13,0.18,24.91
16,2018-05-31 13:49,0.62,0,0,0.11,0.58,0.73,85.72,0.2,24.94
17,2018-05-31 13:50,0.04,0.13,0,0.1,0.57,0.27,85.69,0.19,24.93
18,2018-05-31 13:52,0,0,0,0,0.73,0,85.31,0.2,25.05
19,2018-05-31 13:53,0.73,0.17,0.68,0,0.43,1.58,85.03,0.19,25.13
20,2018-05-31 13:55,0,0.36,0,0,0.73,0.36,85.45,0.21,25.21
21,2018-05-31 13:58,4.4,1.49,0,0,0,5.89,85,0.19,25.28
22,2018-05-31 13:59,2.02,0.03,0,0.09,0.3,2.14,85.38,0.2,25.3
23,2018-05-31 14:01,1.12,0,0.92,0,0.28,2.04,84.75,0.18,25.32
24,2018-05-31 14:11,3.64,0.07,0.32,0,0.46,4.02,84.62,0.18,25.58
25,2018-05-31 14:14,0.09,0.32,1.26,0,0.36,1.67,85.64,0.17,25.7
26,2018-05-31 14:15,1.51,0.22,0,0,0.7,1.73,84.01,0.19,25.72
27,2018-05-31 14:17,0,0.07,0.14,0.45,0.41,0.66,85.06,0.19,25.68
28,2018-05-31 14:19,0.92,0,0,0,0.59,0.92,85.82,0.18,25.71
29,2018-05-31 14:21,0.43,0.14,0.54,0,0.54,1.11,85.16,0.18,25.79
30,2018-05-31 14:23,1.42,0,0,0.32,0.52,1.73,85.58,0.18,25.83
31,2018-05-31 14:25,0,0.07,0.77,0,0.48,0.83,86.55,0.18,25.8
32,2018-05-31 14:26,0.58,0,0.39,0,0.47,0.97,84.94,0.18,25.91
33,2018-05-31 14:28,0,0.05,0.05,0.13,0.49,0.23,85.81,0.19,25.9
34,2018-05-31 14:30,1.36,0.3,0.15,0,0.5,1.81,85.87,0.2,25.93
35,2018-05-31 14:32,0.09,0.22,0,0.02,0.67,0.33,85.36,0.19,26.06
36,2018-05-31 14:34,1.06,0,1.93,0,0.44,2.98,85.46,0.19,26.06
37,2018-05-31 14:54,0.77,0.22,0,0.15,0.47,1.14,85.53,0.19,26.5
38,2018-05-31 14:56,0.25,0,0,0,0.65,0.25,85.49,0.18,26.53
39,2018-05-31 14:57,0.54,0.45,0,0,0.78,0.99,85.02,0.19,26.54
40,2018-05-31 14:59,2.61,0.28,0,0,0.13,2.89,85.11,0.21,26.54
41,2018-05-31 15:03,0.71,0.16,0,0,0.48,0.86,85.91,0.18,26.53
42,2018-05-31 15:05,0.32,0,0,0.37,0.67,0.69,85.53,0,26.68
43,2018-05-31 15:06,4.49,0,0,0,0.31,4.49,85.21,0.2,26.59
44,2018-05-31 15:08,1.96,0.13,0,0,0.48,2.09,84.95,0.18,26.63
45,2018-05-31 15:10,4.88,0,1.47,0,0.51,6.35,84.06,0.18,26.64
46,2018-05-31 15:11,1.61,0,1.12,0,0.77,2.73,84.07,0,26.68
47,2018-05-31 15:13,0,0,0,0,0.51,0,84.87,0.18,26.67
