tank,Date/Time,Green Algae,Bluegreen,Diatoms,Cryptophyta,Yellow substances,Total conc.,Transmission,Depth,Temp. Sample
,date,µg/l,µg/l,µg/l,µg/l,r.u.,µg/l,%,m,°C
1,2018-09-07 14:19,28.36,2.67,0,1.47,1.26,32.49,79.1,0.28,22.37
2,2018-09-07 14:19,58.96,1.76,0,0.5,2.29,61.22,75.9,0.28,22.62
3,2018-09-07 14:19,21.58,0.78,0,1.62,1.41,23.98,81.68,0.29,22.81
4,2018-09-07 14:19,35.9,1.27,0,1.14,1.79,38.31,79.37,0.27,22.97
5,2018-09-07 14:19,23.75,1.07,0,1.88,2.47,26.7,80.04,0.26,23
6,2018-09-07 14:19,3.2,0.3,0.36,0.63,1.68,4.49,83.43,0.27,23.04
7,2018-09-07 14:19,52.44,1.56,0,0.52,2.03,54.52,76.29,0.26,23.07
8,2018-09-07 14:19,9.44,0.18,0,1.01,1.38,10.63,83.33,0.27,23.11
9,2018-09-07 14:19,10.19,0.5,1.29,0.47,1.52,12.45,84.01,0.28,23.18
10,2018-09-07 14:19,22.75,0,0,1,1.94,23.76,82.84,0.27,23.24
11,2018-09-07 14:19,59.86,0,0,0.99,2.07,60.85,79.14,0.27,23.21
12,2018-09-07 14:19,30.17,2.79,0,1.27,3.23,34.22,80.57,0.26,23.34
13,2018-09-07 14:19,33.51,4.24,0,0.06,1.68,37.81,79.41,0.26,23.33
14,2018-09-07 14:19,16.07,0.89,0,1.83,1.58,18.79,82.04,0.24,23.38
15,2018-09-07 14:19,47.88,0.67,0,0.94,2.27,49.49,77.71,0.26,23.39
16,2018-09-07 14:19,11.88,1.07,0,1.49,1.47,14.44,83.05,0.26,23.47
17,2018-09-07 14:19,31.6,0,3.42,0,0.84,35.01,82.08,0.25,23.42
18,2018-09-07 14:19,22.91,0,0,1.17,1.9,24.08,82.85,0.26,23.49
19,2018-09-07 14:19,36.51,3.29,0,1.82,1.69,41.62,77.27,0.27,23.54
20,2018-09-07 14:19,26.87,0,0,2.53,1.5,29.4,80.37,0.28,23.58
21,2018-09-07 14:19,28,0,2.68,1.19,1.35,31.87,82.02,0.25,23.59
22,2018-09-07 14:19,25.73,0.34,0,1.5,2.12,27.57,82.82,0.26,23.55
23,2018-09-07 14:19,22.34,0,2.04,0.95,1.62,25.33,84.06,0.24,23.68
24,2018-09-07 14:19,36.95,1.13,0,0.78,2.74,38.86,80.5,0.25,23.73
25,2018-09-07 14:19,26.03,2.71,0,1.25,2.03,29.99,82.67,0.25,23.73
26,2018-09-07 14:19,38.57,3.88,0,2.93,3.7,45.38,78.43,0.24,23.74
27,2018-09-07 14:19,30.53,3.42,0,0.22,1.94,34.17,79.4,0.24,23.73
28,2018-09-07 14:19,31.11,0.73,0,0.75,2.23,32.59,82.13,0.23,23.74
29,2018-09-07 14:19,32.52,1.19,0,0.36,2.18,34.07,82.35,0.25,23.77
30,2018-09-07 14:19,37.79,1.69,0,0.31,2.11,39.79,82.23,0.25,23.71
31,2018-09-07 14:19,19.32,1.33,0,0.9,1.83,21.55,84.5,0.23,23.76
32,2018-09-07 14:19,48.06,0.33,0,1.42,2.71,49.81,81.83,0.26,23.78
33,2018-09-07 14:19,10.69,1.38,0,0.38,1.27,12.45,84.81,0.28,23.82
34,2018-09-07 14:19,17.24,0.3,1.87,0.46,1.39,19.87,84.7,0.25,23.89
35,2018-09-07 14:19,5.76,4.16,0,0.62,2.94,10.55,84.06,0.25,24
36,2018-09-07 14:19,32.61,0.59,0,0.82,2.62,34.02,83.09,0.24,24.1
37,2018-09-07 14:19,30.16,0.46,0,1.68,2.13,32.3,83.32,0.28,24.15
38,2018-09-07 14:19,22.22,6.9,0,1.11,2.73,30.24,79.29,0.25,24.09
39,2018-09-07 14:19,44.87,1.48,0,0.91,2.12,47.26,80.64,0.28,24.07
40,2018-09-07 14:19,18.41,2.34,0,0.94,1.92,21.68,83.02,0.27,24.07
41,2018-09-07 14:19,20.46,0,0,0.98,1.22,21.45,84.46,0.23,24.12
42,2018-09-07 14:19,31.18,0,1.38,0.83,2.15,33.39,82.91,0.26,24.16
43,2018-09-07 14:19,17.32,1.19,0,0.99,2.4,19.5,83.29,0.26,24.2
44,2018-09-07 14:19,4.99,0.96,0,0.35,2.17,6.31,84.97,0.26,24.2
45,2018-09-07 14:19,7.26,0.63,0,0.34,1.27,8.23,84.57,0.24,24.1
46,2018-09-07 14:19,15.47,13.62,0,1.24,2.17,30.34,75.8,0.24,24.21
47,2018-09-07 14:19,10.44,0,0,2.09,1.5,12.53,84.84,0.25,24.24
48,2018-09-07 14:19,17.37,1.6,0,1.43,2.59,20.4,83.76,0.26,24.25
